RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686260489992	 	3.3.1
USER	Get Data Scenario	1	START	1686260491406	1686260491406
USER	Get Data Scenario	2	START	1686260491564	1686260491564
USER	Get Data Scenario	3	START	1686260491702	1686260491702
REQUEST	2		Get Data	1686260491565	1686260491787	OK	 
REQUEST	1		Get Data	1686260491435	1686260491817	OK	 
USER	Get Data Scenario	4	START	1686260491842	1686260491842
REQUEST	3		Get Data	1686260491703	1686260491889	OK	 
USER	Get Data Scenario	5	START	1686260491986	1686260491986
REQUEST	4		Get Data	1686260491844	1686260492024	OK	 
USER	Get Data Scenario	6	START	1686260492139	1686260492139
REQUEST	5		Get Data	1686260491987	1686260492186	OK	 
USER	Get Data Scenario	7	START	1686260492278	1686260492278
REQUEST	6		Get Data	1686260492140	1686260492331	OK	 
USER	Get Data Scenario	8	START	1686260492434	1686260492434
REQUEST	7		Get Data	1686260492279	1686260492467	OK	 
USER	Get Data Scenario	9	START	1686260492590	1686260492590
REQUEST	8		Get Data	1686260492436	1686260492661	OK	 
USER	Get Data Scenario	10	START	1686260492760	1686260492760
REQUEST	9		Get Data	1686260492591	1686260492787	OK	 
REQUEST	2		Get Data	1686260492808	1686260492912	OK	 
USER	Get Data Scenario	11	START	1686260492933	1686260492933
REQUEST	10		Get Data	1686260492761	1686260492949	OK	 
REQUEST	1		Get Data	1686260492840	1686260492961	OK	 
REQUEST	3		Get Data	1686260492906	1686260493016	OK	 
USER	Get Data Scenario	12	START	1686260493087	1686260493087
REQUEST	11		Get Data	1686260492934	1686260493126	OK	 
REQUEST	4		Get Data	1686260493042	1686260493147	OK	 
USER	Get Data Scenario	13	START	1686260493257	1686260493257
REQUEST	12		Get Data	1686260493088	1686260493274	OK	 
REQUEST	5		Get Data	1686260493212	1686260493316	OK	 
USER	Get Data Scenario	14	START	1686260493428	1686260493428
REQUEST	6		Get Data	1686260493351	1686260493450	OK	 
REQUEST	13		Get Data	1686260493258	1686260493458	OK	 
USER	Get Data Scenario	15	START	1686260493586	1686260493586
REQUEST	14		Get Data	1686260493430	1686260493647	OK	 
REQUEST	7		Get Data	1686260493491	1686260493671	OK	 
USER	Get Data Scenario	16	START	1686260493756	1686260493756
REQUEST	8		Get Data	1686260493677	1686260493773	OK	 
REQUEST	15		Get Data	1686260493587	1686260493802	OK	 
REQUEST	9		Get Data	1686260493801	1686260493899	OK	 
USER	Get Data Scenario	17	START	1686260493926	1686260493926
REQUEST	16		Get Data	1686260493757	1686260493939	OK	 
REQUEST	2		Get Data	1686260493910	1686260494043	OK	 
REQUEST	1		Get Data	1686260493955	1686260494057	OK	 
REQUEST	10		Get Data	1686260493970	1686260494076	OK	 
USER	Get Data Scenario	18	START	1686260494094	1686260494094
REQUEST	17		Get Data	1686260493927	1686260494108	OK	 
REQUEST	3		Get Data	1686260494017	1686260494172	OK	 
REQUEST	11		Get Data	1686260494141	1686260494246	OK	 
REQUEST	4		Get Data	1686260494156	1686260494256	OK	 
USER	Get Data Scenario	19	START	1686260494266	1686260494266
REQUEST	18		Get Data	1686260494095	1686260494323	OK	 
REQUEST	12		Get Data	1686260494283	1686260494385	OK	 
REQUEST	5		Get Data	1686260494313	1686260494411	OK	 
USER	Get Data Scenario	20	START	1686260494426	1686260494426
REQUEST	19		Get Data	1686260494267	1686260494447	OK	 
REQUEST	6		Get Data	1686260494452	1686260494553	OK	 
USER	Get Data Scenario	21	START	1686260494576	1686260494576
REQUEST	13		Get Data	1686260494482	1686260494583	OK	 
REQUEST	20		Get Data	1686260494426	1686260494611	OK	 
USER	Get Data Scenario	22	START	1686260494743	1686260494743
REQUEST	21		Get Data	1686260494577	1686260494760	OK	 
REQUEST	14		Get Data	1686260494666	1686260494764	OK	 
REQUEST	7		Get Data	1686260494667	1686260494769	OK	 
REQUEST	8		Get Data	1686260494776	1686260494873	OK	 
USER	Get Data Scenario	23	START	1686260494912	1686260494912
REQUEST	15		Get Data	1686260494821	1686260494918	OK	 
REQUEST	22		Get Data	1686260494744	1686260494928	OK	 
REQUEST	9		Get Data	1686260494913	1686260495036	OK	 
REQUEST	16		Get Data	1686260494959	1686260495057	OK	 
USER	Get Data Scenario	24	START	1686260495081	1686260495081
REQUEST	23		Get Data	1686260494913	1686260495091	OK	 
REQUEST	2		Get Data	1686260495052	1686260495150	OK	 
REQUEST	1		Get Data	1686260495056	1686260495163	OK	 
REQUEST	10		Get Data	1686260495082	1686260495189	OK	 
REQUEST	17		Get Data	1686260495117	1686260495218	OK	 
USER	Get Data Scenario	25	START	1686260495236	1686260495236
REQUEST	24		Get Data	1686260495083	1686260495262	OK	 
REQUEST	11		Get Data	1686260495251	1686260495363	OK	 
REQUEST	4		Get Data	1686260495267	1686260495375	OK	 
USER	Get Data Scenario	26	START	1686260495406	1686260495406
REQUEST	25		Get Data	1686260495237	1686260495417	OK	 
REQUEST	3		Get Data	1686260495174	1686260495486	OK	 
REQUEST	12		Get Data	1686260495404	1686260495501	OK	 
REQUEST	5		Get Data	1686260495406	1686260495506	OK	 
REQUEST	19		Get Data	1686260495465	1686260495567	OK	 
USER	Get Data Scenario	27	START	1686260495572	1686260495572
REQUEST	26		Get Data	1686260495407	1686260495583	OK	 
REQUEST	18		Get Data	1686260495343	1686260495624	OK	 
REQUEST	6		Get Data	1686260495546	1686260495648	OK	 
REQUEST	13		Get Data	1686260495576	1686260495683	OK	 
USER	Get Data Scenario	28	START	1686260495710	1686260495710
REQUEST	27		Get Data	1686260495572	1686260495754	OK	 
REQUEST	20		Get Data	1686260495634	1686260495802	OK	 
USER	Get Data Scenario	29	START	1686260495850	1686260495850
REQUEST	14		Get Data	1686260495757	1686260495860	OK	 
REQUEST	7		Get Data	1686260495773	1686260495885	OK	 
REQUEST	28		Get Data	1686260495711	1686260495891	OK	 
REQUEST	21		Get Data	1686260495776	1686260495914	OK	 
REQUEST	8		Get Data	1686260495881	1686260495981	OK	 
USER	Get Data Scenario	30	START	1686260496003	1686260496003
REQUEST	15		Get Data	1686260495926	1686260496023	OK	 
REQUEST	29		Get Data	1686260495851	1686260496035	OK	 
REQUEST	22		Get Data	1686260495957	1686260496055	OK	 
USER	Get Data Scenario	31	START	1686260496141	1686260496141
REQUEST	9		Get Data	1686260496036	1686260496142	OK	 
REQUEST	30		Get Data	1686260496004	1686260496186	OK	 
REQUEST	16		Get Data	1686260496082	1686260496206	OK	 
REQUEST	2		Get Data	1686260496146	1686260496250	OK	 
