RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1679672667836	Testing APM - Grafana	3.3.1
USER	Get Data Scenario	1	START	1679672669674	1679672669674
REQUEST	1		Get Data	1679672669737	1679672670175	OK	 
REQUEST	1		Get Data	1679672671199	1679672671344	OK	 
USER	Get Data Scenario	2	START	1679672671662	1679672671662
REQUEST	2		Get Data	1679672671664	1679672671946	OK	 
REQUEST	1		Get Data	1679672672346	1679672672504	OK	 
REQUEST	2		Get Data	1679672672968	1679672673122	OK	 
REQUEST	1		Get Data	1679672673506	1679672673619	OK	 
USER	Get Data Scenario	3	START	1679672673675	1679672673675
REQUEST	3		Get Data	1679672673677	1679672673915	OK	 
REQUEST	2		Get Data	1679672674139	1679672674287	OK	 
REQUEST	1		Get Data	1679672674621	1679672674769	OK	 
REQUEST	3		Get Data	1679672674939	1679672675060	OK	 
REQUEST	2		Get Data	1679672675276	1679672675404	OK	 
USER	Get Data Scenario	4	START	1679672675672	1679672675672
REQUEST	1		Get Data	1679672675769	1679672675896	OK	 
REQUEST	4		Get Data	1679672675674	1679672675908	OK	 
REQUEST	3		Get Data	1679672676064	1679672676175	OK	 
REQUEST	2		Get Data	1679672676410	1679672676529	OK	 
REQUEST	1		Get Data	1679672676906	1679672677018	OK	 
REQUEST	4		Get Data	1679672676938	1679672677074	OK	 
REQUEST	3		Get Data	1679672677170	1679672677351	OK	 
REQUEST	2		Get Data	1679672677529	1679672677645	OK	 
USER	Get Data Scenario	5	START	1679672677681	1679672677681
REQUEST	5		Get Data	1679672677685	1679672677961	OK	 
REQUEST	1		Get Data	1679672678023	1679672678153	OK	 
REQUEST	4		Get Data	1679672678059	1679672678194	OK	 
REQUEST	3		Get Data	1679672678349	1679672678475	OK	 
REQUEST	2		Get Data	1679672678639	1679672678777	OK	 
REQUEST	5		Get Data	1679672678980	1679672679140	OK	 
REQUEST	1		Get Data	1679672679148	1679672679293	OK	 
REQUEST	4		Get Data	1679672679200	1679672679347	OK	 
REQUEST	3		Get Data	1679672679487	1679672679610	OK	 
REQUEST	2		Get Data	1679672679798	1679672679913	OK	 
REQUEST	5		Get Data	1679672680139	1679672680267	OK	 
REQUEST	1		Get Data	1679672680294	1679672680431	OK	 
REQUEST	4		Get Data	1679672680359	1679672680484	OK	 
REQUEST	3		Get Data	1679672680609	1679672680717	OK	 
REQUEST	2		Get Data	1679672680902	1679672681026	OK	 
REQUEST	5		Get Data	1679672681274	1679672681397	OK	 
REQUEST	1		Get Data	1679672681431	1679672681555	OK	 
REQUEST	4		Get Data	1679672681479	1679672681599	OK	 
REQUEST	3		Get Data	1679672681724	1679672681846	OK	 
REQUEST	2		Get Data	1679672682050	1679672682179	OK	 
REQUEST	5		Get Data	1679672682408	1679672682552	OK	 
REQUEST	1		Get Data	1679672682550	1679672682689	OK	 
REQUEST	4		Get Data	1679672682609	1679672682755	OK	 
REQUEST	3		Get Data	1679672682856	1679672683035	OK	 
REQUEST	2		Get Data	1679672683169	1679672683320	OK	 
REQUEST	5		Get Data	1679672683539	1679672683677	OK	 
REQUEST	1		Get Data	1679672683707	1679672683826	OK	 
REQUEST	4		Get Data	1679672683752	1679672683942	OK	 
REQUEST	3		Get Data	1679672684019	1679672684167	OK	 
REQUEST	2		Get Data	1679672684328	1679672684484	OK	 
REQUEST	5		Get Data	1679672684689	1679672684811	OK	 
REQUEST	1		Get Data	1679672684810	1679672684920	OK	 
REQUEST	4		Get Data	1679672684948	1679672685059	OK	 
REQUEST	3		Get Data	1679672685169	1679672685294	OK	 
REQUEST	2		Get Data	1679672685460	1679672685654	OK	 
REQUEST	5		Get Data	1679672685818	1679672685939	OK	 
REQUEST	1		Get Data	1679672685929	1679672686089	OK	 
REQUEST	4		Get Data	1679672686070	1679672686211	OK	 
REQUEST	3		Get Data	1679672686301	1679672686452	OK	 
REQUEST	2		Get Data	1679672686673	1679672686798	OK	 
REQUEST	5		Get Data	1679672686933	1679672687057	OK	 
REQUEST	1		Get Data	1679672687089	1679672687205	OK	 
REQUEST	4		Get Data	1679672687199	1679672687312	OK	 
REQUEST	3		Get Data	1679672687444	1679672687557	OK	 
REQUEST	2		Get Data	1679672687803	1679672687918	OK	 
REQUEST	5		Get Data	1679672688059	1679672688185	OK	 
REQUEST	1		Get Data	1679672688209	1679672688334	OK	 
REQUEST	4		Get Data	1679672688316	1679672688464	OK	 
REQUEST	3		Get Data	1679672688565	1679672688762	OK	 
REQUEST	2		Get Data	1679672688907	1679672689121	OK	 
REQUEST	5		Get Data	1679672689188	1679672689343	OK	 
REQUEST	1		Get Data	1679672689329	1679672689455	OK	 
REQUEST	4		Get Data	1679672689467	1679672689585	OK	 
REQUEST	3		Get Data	1679672689761	1679672689868	OK	 
REQUEST	2		Get Data	1679672690120	1679672690236	OK	 
REQUEST	5		Get Data	1679672690344	1679672690505	OK	 
REQUEST	1		Get Data	1679672690469	1679672690590	OK	 
REQUEST	4		Get Data	1679672690579	1679672690711	OK	 
REQUEST	3		Get Data	1679672690884	1679672691044	OK	 
REQUEST	2		Get Data	1679672691254	1679672691366	OK	 
REQUEST	5		Get Data	1679672691499	1679672691618	OK	 
REQUEST	1		Get Data	1679672691591	1679672691712	OK	 
REQUEST	4		Get Data	1679672691712	1679672691854	OK	 
REQUEST	3		Get Data	1679672692037	1679672692160	OK	 
REQUEST	2		Get Data	1679672692361	1679672692480	OK	 
REQUEST	5		Get Data	1679672692623	1679672692740	OK	 
REQUEST	1		Get Data	1679672692716	1679672692826	OK	 
REQUEST	4		Get Data	1679672692859	1679672693077	OK	 
REQUEST	3		Get Data	1679672693166	1679672693274	OK	 
REQUEST	2		Get Data	1679672693476	1679672693589	OK	 
REQUEST	5		Get Data	1679672693729	1679672693855	OK	 
REQUEST	1		Get Data	1679672693819	1679672693926	OK	 
REQUEST	4		Get Data	1679672694069	1679672694186	OK	 
REQUEST	3		Get Data	1679672694267	1679672694375	OK	 
REQUEST	2		Get Data	1679672694605	1679672694717	OK	 
REQUEST	5		Get Data	1679672694869	1679672694994	OK	 
REQUEST	1		Get Data	1679672694914	1679672695030	OK	 
REQUEST	4		Get Data	1679672695193	1679672695312	OK	 
REQUEST	3		Get Data	1679672695364	1679672695476	OK	 
REQUEST	2		Get Data	1679672695722	1679672695827	OK	 
REQUEST	5		Get Data	1679672696003	1679672696113	OK	 
REQUEST	1		Get Data	1679672696034	1679672696142	OK	 
REQUEST	4		Get Data	1679672696315	1679672696433	OK	 
REQUEST	3		Get Data	1679672696489	1679672696598	OK	 
REQUEST	2		Get Data	1679672696812	1679672696919	OK	 
REQUEST	5		Get Data	1679672697107	1679672697223	OK	 
REQUEST	1		Get Data	1679672697169	1679672697277	OK	 
REQUEST	4		Get Data	1679672697431	1679672697633	OK	 
REQUEST	3		Get Data	1679672697602	1679672697722	OK	 
REQUEST	2		Get Data	1679672697929	1679672698073	OK	 
REQUEST	5		Get Data	1679672698223	1679672698332	OK	 
REQUEST	1		Get Data	1679672698259	1679672698373	OK	 
REQUEST	4		Get Data	1679672698643	1679672698758	OK	 
REQUEST	3		Get Data	1679672698709	1679672698821	OK	 
REQUEST	2		Get Data	1679672699079	1679672699186	OK	 
REQUEST	5		Get Data	1679672699329	1679672699434	OK	 
REQUEST	1		Get Data	1679672699359	1679672699467	OK	 
REQUEST	4		Get Data	1679672699749	1679672699852	OK	 
REQUEST	3		Get Data	1679672699829	1679672699939	OK	 
REQUEST	2		Get Data	1679672700168	1679672700273	OK	 
REQUEST	5		Get Data	1679672700429	1679672700535	OK	 
REQUEST	1		Get Data	1679672700490	1679672700604	OK	 
REQUEST	4		Get Data	1679672700849	1679672700951	OK	 
REQUEST	3		Get Data	1679672700954	1679672701070	OK	 
REQUEST	2		Get Data	1679672701269	1679672701384	OK	 
REQUEST	5		Get Data	1679672701532	1679672701636	OK	 
REQUEST	1		Get Data	1679672701610	1679672701711	OK	 
REQUEST	4		Get Data	1679672701982	1679672702100	OK	 
REQUEST	3		Get Data	1679672702060	1679672702167	OK	 
REQUEST	2		Get Data	1679672702403	1679672702522	OK	 
REQUEST	5		Get Data	1679672702649	1679672702756	OK	 
REQUEST	1		Get Data	1679672702699	1679672702800	OK	 
REQUEST	4		Get Data	1679672703083	1679672703197	OK	 
REQUEST	3		Get Data	1679672703179	1679672703283	OK	 
REQUEST	2		Get Data	1679672703515	1679672703635	OK	 
REQUEST	5		Get Data	1679672703750	1679672703855	OK	 
REQUEST	1		Get Data	1679672703796	1679672703908	OK	 
REQUEST	4		Get Data	1679672704201	1679672704303	OK	 
REQUEST	3		Get Data	1679672704279	1679672704382	OK	 
