RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686144718003	 	3.3.1
USER	Get Data Scenario	1	START	1686144719517	1686144719517
USER	Get Data Scenario	2	START	1686144719575	1686144719575
USER	Get Data Scenario	3	START	1686144719623	1686144719623
USER	Get Data Scenario	4	START	1686144719669	1686144719669
USER	Get Data Scenario	5	START	1686144719719	1686144719719
USER	Get Data Scenario	6	START	1686144719777	1686144719777
USER	Get Data Scenario	7	START	1686144719824	1686144719824
USER	Get Data Scenario	8	START	1686144719871	1686144719871
USER	Get Data Scenario	9	START	1686144719919	1686144719919
USER	Get Data Scenario	10	START	1686144719979	1686144719979
USER	Get Data Scenario	11	START	1686144720025	1686144720025
REQUEST	2		Get Data	1686144719577	1686144719989	OK	 
USER	Get Data Scenario	12	START	1686144720071	1686144720071
REQUEST	4		Get Data	1686144719670	1686144720091	OK	 
REQUEST	5		Get Data	1686144719720	1686144720091	OK	 
REQUEST	1		Get Data	1686144719553	1686144720098	OK	 
REQUEST	6		Get Data	1686144719778	1686144720100	OK	 
REQUEST	7		Get Data	1686144719825	1686144720105	OK	 
REQUEST	8		Get Data	1686144719872	1686144720107	OK	 
REQUEST	9		Get Data	1686144719920	1686144720132	OK	 
USER	Get Data Scenario	13	START	1686144720133	1686144720133
USER	Get Data Scenario	14	START	1686144720179	1686144720179
REQUEST	10		Get Data	1686144719980	1686144720180	OK	 
USER	Get Data Scenario	15	START	1686144720226	1686144720226
REQUEST	11		Get Data	1686144720027	1686144720229	OK	 
USER	Get Data Scenario	16	START	1686144720272	1686144720272
USER	Get Data Scenario	17	START	1686144720319	1686144720319
USER	Get Data Scenario	18	START	1686144720379	1686144720379
USER	Get Data Scenario	19	START	1686144720424	1686144720424
USER	Get Data Scenario	20	START	1686144720472	1686144720472
USER	Get Data Scenario	21	START	1686144720519	1686144720519
REQUEST	14		Get Data	1686144720181	1686144720550	OK	 
REQUEST	13		Get Data	1686144720135	1686144720550	OK	 
REQUEST	12		Get Data	1686144720072	1686144720551	OK	 
REQUEST	16		Get Data	1686144720273	1686144720555	OK	 
REQUEST	15		Get Data	1686144720227	1686144720562	OK	 
USER	Get Data Scenario	22	START	1686144720569	1686144720569
REQUEST	18		Get Data	1686144720380	1686144720603	OK	 
REQUEST	19		Get Data	1686144720425	1686144720608	OK	 
USER	Get Data Scenario	23	START	1686144720627	1686144720627
USER	Get Data Scenario	24	START	1686144720673	1686144720673
USER	Get Data Scenario	25	START	1686144720719	1686144720719
USER	Get Data Scenario	26	START	1686144720769	1686144720769
REQUEST	22		Get Data	1686144720570	1686144720783	OK	 
USER	Get Data Scenario	27	START	1686144720828	1686144720828
USER	Get Data Scenario	28	START	1686144720875	1686144720875
USER	Get Data Scenario	29	START	1686144720921	1686144720921
USER	Get Data Scenario	30	START	1686144720969	1686144720969
REQUEST	21		Get Data	1686144720520	1686144720973	OK	 
USER	Get Data Scenario	31	START	1686144721029	1686144721029
USER	Get Data Scenario	32	START	1686144721076	1686144721076
USER	Get Data Scenario	33	START	1686144721123	1686144721123
USER	Get Data Scenario	34	START	1686144721170	1686144721170
REQUEST	26		Get Data	1686144720770	1686144721171	OK	 
REQUEST	23		Get Data	1686144720628	1686144721171	OK	 
REQUEST	24		Get Data	1686144720674	1686144721172	OK	 
REQUEST	25		Get Data	1686144720721	1686144721172	OK	 
REQUEST	27		Get Data	1686144720829	1686144721173	OK	 
REQUEST	17		Get Data	1686144720321	1686144721208	OK	 
USER	Get Data Scenario	35	START	1686144721219	1686144721219
USER	Get Data Scenario	36	START	1686144721279	1686144721279
USER	Get Data Scenario	37	START	1686144721327	1686144721327
USER	Get Data Scenario	38	START	1686144721372	1686144721372
USER	Get Data Scenario	39	START	1686144721419	1686144721419
REQUEST	30		Get Data	1686144720970	1686144721429	OK	 
REQUEST	7		Get Data	1686144721112	1686144721429	OK	 
REQUEST	1		Get Data	1686144721111	1686144721431	OK	 
REQUEST	4		Get Data	1686144721111	1686144721430	OK	 
USER	Get Data Scenario	40	START	1686144721480	1686144721480
USER	Get Data Scenario	41	START	1686144721525	1686144721525
USER	Get Data Scenario	42	START	1686144721588	1686144721588
USER	Get Data Scenario	43	START	1686144721634	1686144721634
REQUEST	31		Get Data	1686144721030	1686144721640	OK	 
REQUEST	9		Get Data	1686144721155	1686144721640	OK	 
REQUEST	35		Get Data	1686144721220	1686144721641	OK	 
USER	Get Data Scenario	44	START	1686144721681	1686144721681
REQUEST	39		Get Data	1686144721420	1686144721693	OK	 
USER	Get Data Scenario	45	START	1686144721729	1686144721729
USER	Get Data Scenario	46	START	1686144721787	1686144721787
USER	Get Data Scenario	47	START	1686144721834	1686144721834
USER	Get Data Scenario	48	START	1686144721881	1686144721881
USER	Get Data Scenario	49	START	1686144721929	1686144721929
USER	Get Data Scenario	50	START	1686144721989	1686144721989
USER	Get Data Scenario	51	START	1686144722036	1686144722036
REQUEST	13		Get Data	1686144721573	1686144722045	OK	 
REQUEST	16		Get Data	1686144721575	1686144722045	OK	 
REQUEST	14		Get Data	1686144721573	1686144722047	OK	 
REQUEST	38		Get Data	1686144721373	1686144722047	OK	 
REQUEST	36		Get Data	1686144721280	1686144722048	OK	 
REQUEST	8		Get Data	1686144721111	1686144722048	OK	 
REQUEST	5		Get Data	1686144721110	1686144722049	OK	 
REQUEST	10		Get Data	1686144721202	1686144722049	OK	 
REQUEST	6		Get Data	1686144721110	1686144722049	OK	 
REQUEST	11		Get Data	1686144721250	1686144722050	OK	 
REQUEST	28		Get Data	1686144720876	1686144722050	OK	 
REQUEST	37		Get Data	1686144721328	1686144722051	OK	 
REQUEST	2		Get Data	1686144721000	1686144722051	OK	 
