RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686673548896	 	3.3.1
USER	Get Data Scenario	1	START	1686673550424	1686673550424
USER	Get Data Scenario	2	START	1686673550572	1686673550572
USER	Get Data Scenario	3	START	1686673550721	1686673550721
USER	Get Data Scenario	4	START	1686673550861	1686673550861
REQUEST	2		Get Data	1686673550573	1686673550909	OK	 
USER	Get Data Scenario	5	START	1686673551002	1686673551002
REQUEST	3		Get Data	1686673550722	1686673551034	OK	 
REQUEST	1		Get Data	1686673550463	1686673551038	OK	 
USER	Get Data Scenario	6	START	1686673551142	1686673551142
REQUEST	4		Get Data	1686673550863	1686673551152	OK	 
REQUEST	5		Get Data	1686673551003	1686673551245	OK	 
USER	Get Data Scenario	7	START	1686673551282	1686673551282
REQUEST	6		Get Data	1686673551144	1686673551361	OK	 
USER	Get Data Scenario	8	START	1686673551422	1686673551422
REQUEST	7		Get Data	1686673551283	1686673551540	OK	 
USER	Get Data Scenario	9	START	1686673551592	1686673551592
REQUEST	8		Get Data	1686673551423	1686673551684	OK	 
USER	Get Data Scenario	10	START	1686673551762	1686673551762
REQUEST	9		Get Data	1686673551593	1686673551815	OK	 
USER	Get Data Scenario	11	START	1686673551930	1686673551930
REQUEST	10		Get Data	1686673551763	1686673552013	OK	 
REQUEST	2		Get Data	1686673551931	1686673552062	OK	 
USER	Get Data Scenario	12	START	1686673552101	1686673552101
REQUEST	1		Get Data	1686673552055	1686673552153	OK	 
REQUEST	3		Get Data	1686673552055	1686673552156	OK	 
REQUEST	11		Get Data	1686673551932	1686673552247	OK	 
USER	Get Data Scenario	13	START	1686673552271	1686673552271
REQUEST	4		Get Data	1686673552164	1686673552279	OK	 
REQUEST	12		Get Data	1686673552103	1686673552300	OK	 
REQUEST	5		Get Data	1686673552256	1686673552362	OK	 
USER	Get Data Scenario	14	START	1686673552426	1686673552426
REQUEST	6		Get Data	1686673552365	1686673552464	OK	 
REQUEST	13		Get Data	1686673552272	1686673552535	OK	 
USER	Get Data Scenario	15	START	1686673552582	1686673552582
REQUEST	14		Get Data	1686673552429	1686673552638	OK	 
USER	Get Data Scenario	16	START	1686673552752	1686673552752
REQUEST	8		Get Data	1686673552706	1686673552814	OK	 
REQUEST	15		Get Data	1686673552583	1686673552815	OK	 
REQUEST	7		Get Data	1686673552553	1686673552891	OK	 
USER	Get Data Scenario	17	START	1686673552912	1686673552912
REQUEST	9		Get Data	1686673552833	1686673552930	OK	 
REQUEST	16		Get Data	1686673552753	1686673553007	OK	 
USER	Get Data Scenario	18	START	1686673553082	1686673553082
REQUEST	17		Get Data	1686673552913	1686673553087	OK	 
REQUEST	10		Get Data	1686673553035	1686673553134	OK	 
REQUEST	2		Get Data	1686673553065	1686673553161	OK	 
USER	Get Data Scenario	19	START	1686673553252	1686673553252
REQUEST	18		Get Data	1686673553083	1686673553308	OK	 
REQUEST	1		Get Data	1686673553173	1686673553315	OK	 
