RUN	simulations.GetTokenSimulation	gettokensimulation	1690922647858	 	3.3.1
USER	Get Token Scenario	1	START	1690922649787	1690922649787
REQUEST	1		GetToken	1690922649834	1690922650243	OK	 
USER	Get Token Scenario	2	START	1690922650784	1690922650784
REQUEST	2		GetToken	1690922650786	1690922651110	OK	 
USER	Get Token Scenario	1	END	1690922649787	1690922651254
USER	Get Token Scenario	3	START	1690922651790	1690922651790
REQUEST	3		GetToken	1690922651791	1690922652052	OK	 
USER	Get Token Scenario	2	END	1690922650784	1690922652132
USER	Get Token Scenario	4	START	1690922652786	1690922652786
REQUEST	4		GetToken	1690922652787	1690922653051	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	3	END	1690922651790	1690922653081
USER	Get Token Scenario	5	START	1690922653782	1690922653782
REQUEST	5		GetToken	1690922653784	1690922654032	OK	 
USER	Get Token Scenario	4	END	1690922652786	1690922654076
USER	Get Token Scenario	6	START	1690922654773	1690922654773
USER	Get Token Scenario	5	END	1690922653782	1690922655053
REQUEST	6		GetToken	1690922654774	1690922655076	OK	 
USER	Get Token Scenario	7	START	1690922655781	1690922655781
REQUEST	7		GetToken	1690922655782	1690922656042	OK	 
USER	Get Token Scenario	6	END	1690922654773	1690922656091
USER	Get Token Scenario	8	START	1690922656774	1690922656774
REQUEST	8		GetToken	1690922656775	1690922657009	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	END	1690922655781	1690922657070
USER	Get Token Scenario	9	START	1690922657782	1690922657782
USER	Get Token Scenario	8	END	1690922656774	1690922658015
REQUEST	9		GetToken	1690922657783	1690922658031	OK	 
USER	Get Token Scenario	10	START	1690922658772	1690922658772
USER	Get Token Scenario	9	END	1690922657782	1690922659052
REQUEST	10		GetToken	1690922658774	1690922659095	OK	 
USER	Get Token Scenario	10	END	1690922658772	1690922660118
