RUN	simulations.GetTokenSimulation	gettokensimulation	1690923199879	 	3.3.1
USER	Get Token Scenario	1	START	1690923201787	1690923201787
USER	Get Token Scenario	2	START	1690923201897	1690923201897
USER	Get Token Scenario	3	START	1690923202003	1690923202003
USER	Get Token Scenario	4	START	1690923202097	1690923202097
USER	Get Token Scenario	5	START	1690923202205	1690923202205
USER	Get Token Scenario	6	START	1690923202299	1690923202299
REQUEST	1		GetToken	1690923201838	1690923202283	OK	 
REQUEST	2		GetToken	1690923201899	1690923202241	OK	 
REQUEST	3		GetToken	1690923202005	1690923202334	OK	 
REQUEST	4		GetToken	1690923202099	1690923202383	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	START	1690923202406	1690923202406
USER	Get Token Scenario	8	START	1690923202497	1690923202497
REQUEST	5		GetToken	1690923202206	1690923202595	OK	 
USER	Get Token Scenario	9	START	1690923202605	1690923202605
REQUEST	7		GetToken	1690923202407	1690923202668	OK	 
REQUEST	6		GetToken	1690923202302	1690923202668	OK	 
USER	Get Token Scenario	10	START	1690923202698	1690923202698
REQUEST	8		GetToken	1690923202498	1690923202822	KO	jsonPath($.access_token).find.exists, found nothing
REQUEST	9		GetToken	1690923202607	1690923202872	OK	 
REQUEST	10		GetToken	1690923202700	1690923203012	OK	 
USER	Get Token Scenario	2	END	1690923201897	1690923203261
USER	Get Token Scenario	1	END	1690923201787	1690923203304
USER	Get Token Scenario	3	END	1690923202003	1690923203367
USER	Get Token Scenario	4	END	1690923202097	1690923203413
USER	Get Token Scenario	5	END	1690923202205	1690923203613
USER	Get Token Scenario	7	END	1690923202406	1690923203691
USER	Get Token Scenario	6	END	1690923202299	1690923203691
USER	Get Token Scenario	8	END	1690923202497	1690923203829
USER	Get Token Scenario	9	END	1690923202605	1690923203890
USER	Get Token Scenario	10	END	1690923202698	1690923204028
