RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1691011535278	 	3.3.1
USER	Get Data Scenario	1	START	1691011537093	1691011537093
USER	Get Data Scenario	2	START	1691011537598	1691011537598
REQUEST	1		Get Data	1691011537140	1691011537702	OK	 
REQUEST	2		Get Data	1691011537599	1691011537895	OK	 
USER	Get Data Scenario	3	START	1691011538102	1691011538102
USER	Get Data Scenario	4	START	1691011538599	1691011538599
REQUEST	3		Get Data	1691011538103	1691011538812	OK	 
USER	Get Data Scenario	5	START	1691011539097	1691011539097
REQUEST	4		Get Data	1691011538601	1691011539440	OK	 
REQUEST	2		Get Data	1691011538911	1691011539466	OK	 
REQUEST	5		Get Data	1691011539100	1691011539500	OK	 
REQUEST	1		Get Data	1691011538729	1691011539519	OK	 
REQUEST	3		Get Data	1691011539826	1691011539988	OK	 
USER	Get Data Scenario	6	START	1691011540077	1691011540077
REQUEST	6		Get Data	1691011540078	1691011540588	OK	 
REQUEST	2		Get Data	1691011540464	1691011540595	OK	 
USER	Get Data Scenario	7	START	1691011540603	1691011540603
REQUEST	5		Get Data	1691011540527	1691011540807	OK	 
REQUEST	1		Get Data	1691011540526	1691011540914	OK	 
REQUEST	4		Get Data	1691011540464	1691011540939	OK	 
REQUEST	7		Get Data	1691011540604	1691011540945	OK	 
USER	Get Data Scenario	8	START	1691011541100	1691011541100
REQUEST	3		Get Data	1691011540992	1691011541140	OK	 
REQUEST	8		Get Data	1691011541101	1691011541414	OK	 
USER	Get Data Scenario	9	START	1691011541597	1691011541597
REQUEST	6		Get Data	1691011541613	1691011541778	OK	 
REQUEST	2		Get Data	1691011541598	1691011541832	OK	 
REQUEST	9		Get Data	1691011541599	1691011542025	OK	 
USER	Get Data Scenario	10	START	1691011542108	1691011542108
REQUEST	4		Get Data	1691011541938	1691011542141	OK	 
REQUEST	5		Get Data	1691011541815	1691011542230	OK	 
REQUEST	7		Get Data	1691011541954	1691011542319	OK	 
REQUEST	10		Get Data	1691011542109	1691011542486	OK	 
REQUEST	1		Get Data	1691011541909	1691011542486	OK	 
REQUEST	3		Get Data	1691011542140	1691011542490	OK	 
REQUEST	8		Get Data	1691011542432	1691011542706	OK	 
REQUEST	6		Get Data	1691011542773	1691011542984	OK	 
REQUEST	2		Get Data	1691011542839	1691011543023	OK	 
USER	Get Data Scenario	11	START	1691011543097	1691011543097
REQUEST	11		Get Data	1691011543098	1691011543431	OK	 
REQUEST	5		Get Data	1691011543235	1691011543496	OK	 
USER	Get Data Scenario	12	START	1691011543607	1691011543607
REQUEST	3		Get Data	1691011543488	1691011543619	OK	 
REQUEST	10		Get Data	1691011543500	1691011543666	OK	 
REQUEST	1		Get Data	1691011543485	1691011543676	OK	 
REQUEST	7		Get Data	1691011543329	1691011543755	OK	 
REQUEST	12		Get Data	1691011543609	1691011543933	OK	 
REQUEST	8		Get Data	1691011543718	1691011544077	OK	 
USER	Get Data Scenario	13	START	1691011544105	1691011544105
REQUEST	6		Get Data	1691011543982	1691011544113	OK	 
USER	Get Data Scenario	14	START	1691011544587	1691011544587
REQUEST	10		Get Data	1691011544668	1691011545058	OK	 
