RUN	simulations.GetTokenSimulation	gettokensimulation	1690922844238	 	3.3.1
USER	Get Token Scenario	1	START	1690922845646	1690922845646
REQUEST	1		GetToken	1690922845679	1690922846059	OK	 
USER	Get Token Scenario	2	START	1690922846644	1690922846644
REQUEST	2		GetToken	1690922846646	1690922846952	OK	 
USER	Get Token Scenario	1	END	1690922845646	1690922847077
USER	Get Token Scenario	3	START	1690922847648	1690922847648
USER	Get Token Scenario	2	END	1690922846644	1690922847958
REQUEST	3		GetToken	1690922847649	1690922848025	OK	 
USER	Get Token Scenario	4	START	1690922848639	1690922848639
REQUEST	4		GetToken	1690922848641	1690922848941	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	3	END	1690922847648	1690922849044
USER	Get Token Scenario	5	START	1690922849654	1690922849654
REQUEST	5		GetToken	1690922849655	1690922849898	OK	 
USER	Get Token Scenario	4	END	1690922848639	1690922849974
USER	Get Token Scenario	6	START	1690922850655	1690922850655
USER	Get Token Scenario	5	END	1690922849654	1690922850919
REQUEST	6		GetToken	1690922850656	1690922851076	OK	 
USER	Get Token Scenario	7	START	1690922851663	1690922851663
REQUEST	7		GetToken	1690922851664	1690922851973	OK	 
USER	Get Token Scenario	6	END	1690922850655	1690922852097
USER	Get Token Scenario	8	START	1690922852639	1690922852639
REQUEST	8		GetToken	1690922852641	1690922852993	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	END	1690922851663	1690922852995
USER	Get Token Scenario	9	START	1690922853646	1690922853646
REQUEST	9		GetToken	1690922853647	1690922853878	OK	 
USER	Get Token Scenario	8	END	1690922852639	1690922854005
USER	Get Token Scenario	10	START	1690922854657	1690922854657
USER	Get Token Scenario	9	END	1690922853646	1690922854889
REQUEST	10		GetToken	1690922854658	1690922854897	OK	 
USER	Get Token Scenario	10	END	1690922854657	1690922855904
