RUN	simulations.GetTokenSimulation	gettokensimulation	1690922715027	 	3.3.1
USER	Get Token Scenario	1	START	1690922716632	1690922716632
REQUEST	1		GetToken	1690922716670	1690922717016	OK	 
USER	Get Token Scenario	2	START	1690922717633	1690922717633
USER	Get Token Scenario	1	END	1690922716632	1690922718025
REQUEST	2		GetToken	1690922717634	1690922718586	OK	 
USER	Get Token Scenario	3	START	1690922718640	1690922718640
REQUEST	3		GetToken	1690922718641	1690922718892	OK	 
USER	Get Token Scenario	2	END	1690922717633	1690922719601
USER	Get Token Scenario	4	START	1690922719631	1690922719631
USER	Get Token Scenario	3	END	1690922718640	1690922719921
REQUEST	4		GetToken	1690922719633	1690922720006	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	5	START	1690922720636	1690922720636
REQUEST	5		GetToken	1690922720637	1690922720893	OK	 
USER	Get Token Scenario	4	END	1690922719631	1690922721042
USER	Get Token Scenario	6	START	1690922721631	1690922721631
REQUEST	6		GetToken	1690922721632	1690922721880	OK	 
USER	Get Token Scenario	5	END	1690922720636	1690922721911
USER	Get Token Scenario	7	START	1690922722624	1690922722624
REQUEST	7		GetToken	1690922722626	1690922722870	OK	 
USER	Get Token Scenario	6	END	1690922721631	1690922722902
USER	Get Token Scenario	8	START	1690922723631	1690922723631
REQUEST	8		GetToken	1690922723632	1690922723861	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	END	1690922722624	1690922723881
USER	Get Token Scenario	9	START	1690922724636	1690922724636
USER	Get Token Scenario	8	END	1690922723631	1690922724871
REQUEST	9		GetToken	1690922724637	1690922724886	OK	 
USER	Get Token Scenario	10	START	1690922725631	1690922725631
REQUEST	10		GetToken	1690922725633	1690922725869	OK	 
USER	Get Token Scenario	9	END	1690922724636	1690922725905
USER	Get Token Scenario	10	END	1690922725631	1690922726881
