RUN	simulations.GetTokenSimulation	gettokensimulation	1686259962547	 	3.3.1
USER	Get Token Scenario	1	START	1686259964049	1686259964049
USER	Get Token Scenario	2	START	1686259964299	1686259964299
REQUEST	1		GetToken	1686259964078	1686259964387	OK	 
USER	Get Token Scenario	3	START	1686259964547	1686259964547
REQUEST	2		GetToken	1686259964300	1686259964614	OK	 
REQUEST	3		GetToken	1686259964548	1686259964793	OK	 
USER	Get Token Scenario	4	START	1686259964798	1686259964798
REQUEST	4		GetToken	1686259964800	1686259965003	OK	 
USER	Get Token Scenario	1	END	1686259964049	1686259965411
USER	Get Token Scenario	2	END	1686259964299	1686259965628
USER	Get Token Scenario	3	END	1686259964547	1686259965810
USER	Get Token Scenario	4	END	1686259964798	1686259966018
