RUN	simulations.GetTokenSimulation	gettokensimulation	1690922506992	 	3.3.1
USER	Get Token Scenario	1	START	1690922508798	1690922508798
REQUEST	1		GetToken	1690922508849	1690922509199	OK	 
USER	Get Token Scenario	2	START	1690922509817	1690922509817
REQUEST	2		GetToken	1690922509819	1690922510152	OK	 
USER	Get Token Scenario	1	END	1690922508798	1690922510222
USER	Get Token Scenario	3	START	1690922510811	1690922510811
REQUEST	3		GetToken	1690922510812	1690922511115	OK	 
USER	Get Token Scenario	2	END	1690922509817	1690922511164
USER	Get Token Scenario	4	START	1690922511791	1690922511791
REQUEST	4		GetToken	1690922511792	1690922512087	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	3	END	1690922510811	1690922512127
USER	Get Token Scenario	5	START	1690922512806	1690922512806
REQUEST	5		GetToken	1690922512807	1690922513066	OK	 
USER	Get Token Scenario	4	END	1690922511791	1690922513101
USER	Get Token Scenario	6	START	1690922513798	1690922513798
REQUEST	6		GetToken	1690922513799	1690922514052	OK	 
USER	Get Token Scenario	5	END	1690922512806	1690922514077
USER	Get Token Scenario	7	START	1690922514790	1690922514790
USER	Get Token Scenario	6	END	1690922513798	1690922515071
REQUEST	7		GetToken	1690922514791	1690922515106	OK	 
USER	Get Token Scenario	8	START	1690922515809	1690922515809
REQUEST	8		GetToken	1690922515810	1690922516027	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	END	1690922514790	1690922516121
USER	Get Token Scenario	9	START	1690922516787	1690922516787
REQUEST	9		GetToken	1690922516788	1690922517034	OK	 
USER	Get Token Scenario	8	END	1690922515809	1690922517036
USER	Get Token Scenario	10	START	1690922517801	1690922517801
USER	Get Token Scenario	9	END	1690922516787	1690922518055
REQUEST	10		GetToken	1690922517803	1690922518060	OK	 
USER	Get Token Scenario	10	END	1690922517801	1690922519110
