RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1680017672546	Test para APM con Grafana	3.3.1
USER	Get Data Scenario	1	START	1680017674430	1680017674430
REQUEST	1		Get Data	1680017674492	1680017674918	OK	 
REQUEST	1		Get Data	1680017675949	1680017676165	OK	 
USER	Get Data Scenario	2	START	1680017676444	1680017676444
REQUEST	2		Get Data	1680017676446	1680017676743	OK	 
REQUEST	1		Get Data	1680017677171	1680017677361	OK	 
REQUEST	2		Get Data	1680017677773	1680017677903	OK	 
USER	Get Data Scenario	3	START	1680017678412	1680017678412
REQUEST	1		Get Data	1680017678350	1680017678471	OK	 
REQUEST	3		Get Data	1680017678414	1680017678669	OK	 
REQUEST	2		Get Data	1680017678896	1680017679044	OK	 
REQUEST	1		Get Data	1680017679483	1680017679616	OK	 
REQUEST	3		Get Data	1680017679683	1680017679813	OK	 
REQUEST	2		Get Data	1680017680038	1680017680174	OK	 
USER	Get Data Scenario	4	START	1680017680442	1680017680442
REQUEST	4		Get Data	1680017680444	1680017680678	OK	 
REQUEST	1		Get Data	1680017680603	1680017680716	OK	 
REQUEST	3		Get Data	1680017680816	1680017680938	OK	 
REQUEST	2		Get Data	1680017681174	1680017681307	OK	 
REQUEST	4		Get Data	1680017681685	1680017681811	OK	 
REQUEST	1		Get Data	1680017681733	1680017681897	OK	 
REQUEST	3		Get Data	1680017681932	1680017682075	OK	 
USER	Get Data Scenario	5	START	1680017682431	1680017682431
REQUEST	2		Get Data	1680017682322	1680017682475	OK	 
REQUEST	5		Get Data	1680017682433	1680017682725	OK	 
REQUEST	4		Get Data	1680017682833	1680017682969	OK	 
REQUEST	1		Get Data	1680017682883	1680017683018	OK	 
REQUEST	3		Get Data	1680017683096	1680017683235	OK	 
REQUEST	2		Get Data	1680017683481	1680017683625	OK	 
REQUEST	5		Get Data	1680017683745	1680017683890	OK	 
REQUEST	4		Get Data	1680017683977	1680017684166	OK	 
REQUEST	1		Get Data	1680017684012	1680017684239	OK	 
REQUEST	3		Get Data	1680017684240	1680017684370	OK	 
REQUEST	2		Get Data	1680017684632	1680017684753	OK	 
REQUEST	5		Get Data	1680017684883	1680017685014	OK	 
REQUEST	4		Get Data	1680017685161	1680017685286	OK	 
