RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1690993514766	 	3.3.1
USER	Get Data Scenario	1	START	1690993516045	1690993516045
USER	Get Data Scenario	2	START	1690993516325	1690993516325
REQUEST	1		Get Data	1690993516077	1690993516365	OK	 
USER	Get Data Scenario	3	START	1690993516573	1690993516573
REQUEST	3		Get Data	1690993516575	1690993516797	OK	 
USER	Get Data Scenario	4	START	1690993516819	1690993516819
REQUEST	4		Get Data	1690993516821	1690993517048	KO	jsonPath($).find.exists preparation crashed: Jackson failed to parse into a valid AST: c.f.j.d.e.MismatchedInputException: No content to map due to end-of-input  at [Source: (io.gatling.commons.util.FastByteArrayInputStream); line: 1, column: 0]
USER	Get Data Scenario	5	START	1690993517068	1690993517068
REQUEST	5		Get Data	1690993517069	1690993517279	KO	jsonPath($).find.exists preparation crashed: Jackson failed to parse into a valid AST: c.f.j.d.e.MismatchedInputException: No content to map due to end-of-input  at [Source: (io.gatling.commons.util.FastByteArrayInputStream); line: 1, column: 0]
USER	Get Data Scenario	6	START	1690993517395	1690993517395
REQUEST	1		Get Data	1690993517395	1690993517519	OK	 
REQUEST	6		Get Data	1690993517396	1690993517596	KO	jsonPath($).find.exists preparation crashed: Jackson failed to parse into a valid AST: c.f.j.d.e.MismatchedInputException: No content to map due to end-of-input  at [Source: (io.gatling.commons.util.FastByteArrayInputStream); line: 1, column: 0]
USER	Get Data Scenario	7	START	1690993517726	1690993517726
REQUEST	3		Get Data	1690993517815	1690993517914	KO	jsonPath($).find.exists preparation crashed: Jackson failed to parse into a valid AST: c.f.j.d.e.MismatchedInputException: No content to map due to end-of-input  at [Source: (io.gatling.commons.util.FastByteArrayInputStream); line: 1, column: 0]
REQUEST	7		Get Data	1690993517727	1690993517942	KO	jsonPath($).find.exists preparation crashed: Jackson failed to parse into a valid AST: c.f.j.d.e.MismatchedInputException: No content to map due to end-of-input  at [Source: (io.gatling.commons.util.FastByteArrayInputStream); line: 1, column: 0]
USER	Get Data Scenario	8	START	1690993518066	1690993518066
REQUEST	4		Get Data	1690993518078	1690993518203	KO	jsonPath($).find.exists preparation crashed: Jackson failed to parse into a valid AST: c.f.j.d.e.MismatchedInputException: No content to map due to end-of-input  at [Source: (io.gatling.commons.util.FastByteArrayInputStream); line: 1, column: 0]
