RUN	simulations.GetTokenSimulation	gettokensimulation	1690983866539	 	3.3.1
USER	Get Token Scenario	1	START	1690983868484	1690983868484
USER	Get Token Scenario	2	START	1690983868582	1690983868582
USER	Get Token Scenario	3	START	1690983868689	1690983868689
USER	Get Token Scenario	4	START	1690983868781	1690983868781
USER	Get Token Scenario	5	START	1690983868879	1690983868879
USER	Get Token Scenario	6	START	1690983868983	1690983868983
REQUEST	1		GetToken	1690983868536	1690983868900	OK	 
REQUEST	2		GetToken	1690983868583	1690983868913	OK	 
REQUEST	3		GetToken	1690983868690	1690983868996	OK	 
USER	Get Token Scenario	7	START	1690983869079	1690983869079
REQUEST	4		GetToken	1690983868783	1690983869099	KO	jsonPath($.access_token).find.exists, found nothing
REQUEST	5		GetToken	1690983868881	1690983869178	OK	 
USER	Get Token Scenario	8	START	1690983869183	1690983869183
USER	Get Token Scenario	9	START	1690983869279	1690983869279
USER	Get Token Scenario	10	START	1690983869383	1690983869383
REQUEST	7		GetToken	1690983869081	1690983869392	OK	 
REQUEST	9		GetToken	1690983869281	1690983869512	OK	 
REQUEST	6		GetToken	1690983868985	1690983869519	OK	 
REQUEST	8		GetToken	1690983869184	1690983869559	KO	jsonPath($.access_token).find.exists, found nothing
REQUEST	10		GetToken	1690983869385	1690983869610	OK	 
USER	Get Token Scenario	1	END	1690983868484	1690983869930
USER	Get Token Scenario	2	END	1690983868582	1690983869930
USER	Get Token Scenario	3	END	1690983868689	1690983870005
USER	Get Token Scenario	4	END	1690983868781	1690983870130
USER	Get Token Scenario	5	END	1690983868879	1690983870191
USER	Get Token Scenario	7	END	1690983869079	1690983870407
USER	Get Token Scenario	6	END	1690983868983	1690983870534
USER	Get Token Scenario	9	END	1690983869279	1690983870534
USER	Get Token Scenario	8	END	1690983869183	1690983870582
USER	Get Token Scenario	10	END	1690983869383	1690983870627
