RUN	simulations.Browser.GetDataSimulation	getdatasimulation	1680041723723	Test2 Grafana APM - Loki	3.3.1
USER	Get Data Scenario	1	START	1680041725245	1680041725245
REQUEST	1		Get Data	1680041725278	1680041725695	OK	 
REQUEST	1		Get Data	1680041726725	1680041726935	OK	 
USER	Get Data Scenario	2	START	1680041727239	1680041727239
REQUEST	2		Get Data	1680041727241	1680041727577	OK	 
REQUEST	1		Get Data	1680041727935	1680041728494	OK	 
REQUEST	2		Get Data	1680041728591	1680041729084	OK	 
USER	Get Data Scenario	3	START	1680041729256	1680041729256
REQUEST	1		Get Data	1680041729491	1680041729620	OK	 
REQUEST	3		Get Data	1680041729259	1680041729722	OK	 
REQUEST	2		Get Data	1680041730082	1680041730307	OK	 
REQUEST	1		Get Data	1680041730621	1680041730795	OK	 
USER	Get Data Scenario	4	START	1680041731257	1680041731257
REQUEST	2		Get Data	1680041731310	1680041731487	OK	 
REQUEST	4		Get Data	1680041731259	1680041731503	OK	 
REQUEST	3		Get Data	1680041730747	1680041731722	OK	 
REQUEST	1		Get Data	1680041731802	1680041732237	OK	 
REQUEST	2		Get Data	1680041732500	1680041732620	OK	 
REQUEST	3		Get Data	1680041732731	1680041732904	OK	 
REQUEST	4		Get Data	1680041732512	1680041733006	OK	 
USER	Get Data Scenario	5	START	1680041733259	1680041733259
REQUEST	1		Get Data	1680041733230	1680041733525	OK	 
REQUEST	5		Get Data	1680041733260	1680041733560	OK	 
REQUEST	2		Get Data	1680041733630	1680041733952	OK	 
REQUEST	3		Get Data	1680041733891	1680041734041	OK	 
REQUEST	4		Get Data	1680041734011	1680041734383	OK	 
REQUEST	1		Get Data	1680041734537	1680041734768	OK	 
REQUEST	2		Get Data	1680041734958	1680041735145	OK	 
REQUEST	5		Get Data	1680041734570	1680041735173	OK	 
REQUEST	3		Get Data	1680041735050	1680041735244	OK	 
REQUEST	4		Get Data	1680041735391	1680041735575	OK	 
REQUEST	5		Get Data	1680041736182	1680041736339	OK	 
REQUEST	3		Get Data	1680041736230	1680041736395	OK	 
REQUEST	1		Get Data	1680041735750	1680041736458	OK	 
