RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686927207593	 	3.3.1
USER	Get Data Scenario	1	START	1686927209169	1686927209169
USER	Get Data Scenario	2	START	1686927209169	1686927209169
USER	Get Data Scenario	3	START	1686927209191	1686927209191
USER	Get Data Scenario	4	START	1686927209201	1686927209201
USER	Get Data Scenario	5	START	1686927209212	1686927209212
USER	Get Data Scenario	6	START	1686927209222	1686927209222
USER	Get Data Scenario	7	START	1686927209233	1686927209233
USER	Get Data Scenario	8	START	1686927209243	1686927209243
USER	Get Data Scenario	9	START	1686927209254	1686927209254
USER	Get Data Scenario	10	START	1686927209264	1686927209264
USER	Get Data Scenario	11	START	1686927209275	1686927209275
USER	Get Data Scenario	12	START	1686927209285	1686927209285
USER	Get Data Scenario	13	START	1686927209295	1686927209295
USER	Get Data Scenario	14	START	1686927209305	1686927209305
USER	Get Data Scenario	15	START	1686927209316	1686927209316
USER	Get Data Scenario	16	START	1686927209326	1686927209326
USER	Get Data Scenario	17	START	1686927209331	1686927209331
USER	Get Data Scenario	18	START	1686927209342	1686927209342
USER	Get Data Scenario	19	START	1686927209352	1686927209352
USER	Get Data Scenario	20	START	1686927209362	1686927209362
USER	Get Data Scenario	22	START	1686927209418	1686927209418
USER	Get Data Scenario	21	START	1686927209416	1686927209416
USER	Get Data Scenario	23	START	1686927209421	1686927209421
USER	Get Data Scenario	24	START	1686927209421	1686927209421
USER	Get Data Scenario	25	START	1686927209422	1686927209422
USER	Get Data Scenario	26	START	1686927209422	1686927209422
USER	Get Data Scenario	27	START	1686927209434	1686927209434
USER	Get Data Scenario	28	START	1686927209444	1686927209444
USER	Get Data Scenario	29	START	1686927209454	1686927209454
USER	Get Data Scenario	30	START	1686927209465	1686927209465
USER	Get Data Scenario	31	START	1686927209475	1686927209475
USER	Get Data Scenario	32	START	1686927209485	1686927209485
USER	Get Data Scenario	33	START	1686927209496	1686927209496
USER	Get Data Scenario	34	START	1686927209507	1686927209507
USER	Get Data Scenario	35	START	1686927209511	1686927209511
USER	Get Data Scenario	36	START	1686927209522	1686927209522
USER	Get Data Scenario	37	START	1686927209532	1686927209532
USER	Get Data Scenario	38	START	1686927209542	1686927209542
USER	Get Data Scenario	39	START	1686927209552	1686927209552
USER	Get Data Scenario	40	START	1686927209562	1686927209562
USER	Get Data Scenario	41	START	1686927209573	1686927209573
USER	Get Data Scenario	42	START	1686927209584	1686927209584
USER	Get Data Scenario	43	START	1686927209594	1686927209594
USER	Get Data Scenario	44	START	1686927209605	1686927209605
USER	Get Data Scenario	45	START	1686927209615	1686927209615
USER	Get Data Scenario	46	START	1686927209625	1686927209625
USER	Get Data Scenario	47	START	1686927209635	1686927209635
USER	Get Data Scenario	48	START	1686927209647	1686927209647
USER	Get Data Scenario	49	START	1686927209651	1686927209651
USER	Get Data Scenario	50	START	1686927209661	1686927209661
USER	Get Data Scenario	51	START	1686927209673	1686927209673
USER	Get Data Scenario	52	START	1686927209683	1686927209683
REQUEST	4		Get Data	1686927209221	1686927209626	OK	 
REQUEST	7		Get Data	1686927209234	1686927209628	OK	 
REQUEST	9		Get Data	1686927209255	1686927209668	OK	 
REQUEST	5		Get Data	1686927209223	1686927209624	OK	 
REQUEST	18		Get Data	1686927209346	1686927209675	OK	 
REQUEST	3		Get Data	1686927209219	1686927209671	OK	 
REQUEST	12		Get Data	1686927209286	1686927209666	OK	 
REQUEST	10		Get Data	1686927209265	1686927209670	OK	 
REQUEST	16		Get Data	1686927209327	1686927209606	OK	 
REQUEST	13		Get Data	1686927209297	1686927209627	OK	 
REQUEST	17		Get Data	1686927209332	1686927209615	OK	 
REQUEST	6		Get Data	1686927209224	1686927209624	OK	 
REQUEST	8		Get Data	1686927209244	1686927209691	OK	 
REQUEST	20		Get Data	1686927209363	1686927209693	OK	 
REQUEST	26		Get Data	1686927209428	1686927209694	OK	 
REQUEST	22		Get Data	1686927209423	1686927209692	OK	 
REQUEST	24		Get Data	1686927209425	1686927209694	OK	 
USER	Get Data Scenario	53	START	1686927209695	1686927209695
REQUEST	23		Get Data	1686927209426	1686927209695	OK	 
REQUEST	1		Get Data	1686927209217	1686927209694	OK	 
REQUEST	14		Get Data	1686927209306	1686927209691	OK	 
REQUEST	25		Get Data	1686927209427	1686927209695	OK	 
REQUEST	2		Get Data	1686927209214	1686927209695	OK	 
REQUEST	28		Get Data	1686927209450	1686927209695	OK	 
REQUEST	19		Get Data	1686927209353	1686927209697	OK	 
REQUEST	15		Get Data	1686927209317	1686927209699	OK	 
REQUEST	27		Get Data	1686927209435	1686927209700	OK	 
REQUEST	11		Get Data	1686927209276	1686927209702	OK	 
USER	Get Data Scenario	54	START	1686927209710	1686927209710
USER	Get Data Scenario	55	START	1686927209711	1686927209711
USER	Get Data Scenario	56	START	1686927209722	1686927209722
USER	Get Data Scenario	57	START	1686927209732	1686927209732
USER	Get Data Scenario	59	START	1686927209764	1686927209764
USER	Get Data Scenario	60	START	1686927209765	1686927209765
USER	Get Data Scenario	58	START	1686927209764	1686927209764
USER	Get Data Scenario	61	START	1686927209775	1686927209775
USER	Get Data Scenario	62	START	1686927209785	1686927209785
REQUEST	21		Get Data	1686927209424	1686927209788	OK	 
REQUEST	36		Get Data	1686927209523	1686927209788	OK	 
REQUEST	37		Get Data	1686927209533	1686927209790	OK	 
REQUEST	33		Get Data	1686927209497	1686927209792	OK	 
REQUEST	34		Get Data	1686927209508	1686927209792	OK	 
REQUEST	29		Get Data	1686927209456	1686927209793	OK	 
REQUEST	32		Get Data	1686927209487	1686927209793	OK	 
REQUEST	30		Get Data	1686927209466	1686927209793	OK	 
REQUEST	40		Get Data	1686927209563	1686927209794	OK	 
REQUEST	43		Get Data	1686927209595	1686927209794	OK	 
REQUEST	35		Get Data	1686927209512	1686927209795	OK	 
REQUEST	39		Get Data	1686927209553	1686927209795	OK	 
REQUEST	41		Get Data	1686927209574	1686927209796	OK	 
USER	Get Data Scenario	63	START	1686927209801	1686927209801
REQUEST	46		Get Data	1686927209626	1686927209801	OK	 
USER	Get Data Scenario	64	START	1686927209802	1686927209802
