RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686754403593	 	3.3.1
USER	Get Data Scenario	1	START	1686754405159	1686754405159
USER	Get Data Scenario	2	START	1686754405306	1686754405306
USER	Get Data Scenario	3	START	1686754405446	1686754405446
USER	Get Data Scenario	4	START	1686754405595	1686754405595
USER	Get Data Scenario	5	START	1686754405736	1686754405736
USER	Get Data Scenario	6	START	1686754405876	1686754405876
REQUEST	3		Get Data	1686754405447	1686754405840	OK	 
USER	Get Data Scenario	7	START	1686754406016	1686754406016
USER	Get Data Scenario	8	START	1686754406156	1686754406156
REQUEST	2		Get Data	1686754405307	1686754406172	OK	 
REQUEST	6		Get Data	1686754405877	1686754406242	OK	 
REQUEST	4		Get Data	1686754405597	1686754406254	OK	 
USER	Get Data Scenario	9	START	1686754406326	1686754406326
REQUEST	5		Get Data	1686754405737	1686754406326	OK	 
REQUEST	7		Get Data	1686754406017	1686754406397	OK	 
REQUEST	1		Get Data	1686754405194	1686754406407	OK	 
REQUEST	8		Get Data	1686754406157	1686754406487	OK	 
USER	Get Data Scenario	10	START	1686754406496	1686754406496
REQUEST	9		Get Data	1686754406327	1686754406602	OK	 
USER	Get Data Scenario	11	START	1686754406656	1686754406656
REQUEST	10		Get Data	1686754406497	1686754406698	OK	 
USER	Get Data Scenario	12	START	1686754406826	1686754406826
REQUEST	11		Get Data	1686754406657	1686754406853	OK	 
USER	Get Data Scenario	13	START	1686754407003	1686754407003
REQUEST	3		Get Data	1686754406857	1686754407034	OK	 
REQUEST	12		Get Data	1686754406827	1686754407046	OK	 
USER	Get Data Scenario	14	START	1686754407156	1686754407156
REQUEST	13		Get Data	1686754407005	1686754407209	OK	 
REQUEST	2		Get Data	1686754407190	1686754407303	OK	 
USER	Get Data Scenario	15	START	1686754407326	1686754407326
REQUEST	6		Get Data	1686754407265	1686754407379	OK	 
REQUEST	14		Get Data	1686754407157	1686754407391	OK	 
REQUEST	4		Get Data	1686754407266	1686754407393	OK	 
REQUEST	5		Get Data	1686754407347	1686754407502	OK	 
USER	Get Data Scenario	16	START	1686754407505	1686754407505
REQUEST	15		Get Data	1686754407328	1686754407627	OK	 
REQUEST	1		Get Data	1686754407438	1686754407654	OK	 
USER	Get Data Scenario	17	START	1686754407663	1686754407663
REQUEST	8		Get Data	1686754407509	1686754407666	OK	 
REQUEST	16		Get Data	1686754407506	1686754407699	OK	 
REQUEST	9		Get Data	1686754407608	1686754407738	OK	 
REQUEST	7		Get Data	1686754407413	1686754407799	OK	 
REQUEST	10		Get Data	1686754407718	1686754407826	OK	 
USER	Get Data Scenario	18	START	1686754407831	1686754407831
REQUEST	17		Get Data	1686754407664	1686754407943	OK	 
USER	Get Data Scenario	19	START	1686754407996	1686754407996
REQUEST	11		Get Data	1686754407863	1686754407997	OK	 
REQUEST	18		Get Data	1686754407833	1686754408038	OK	 
USER	Get Data Scenario	20	START	1686754408156	1686754408156
