RUN	simulations.GetTokenSimulation	gettokensimulation	1690923542111	 	3.3.1
USER	Get Token Scenario	1	START	1690923543915	1690923543915
REQUEST	1		GetToken	1690923543964	1690923544250	OK	 
USER	Get Token Scenario	2	START	1690923544923	1690923544923
REQUEST	2		GetToken	1690923544924	1690923545176	OK	 
USER	Get Token Scenario	1	END	1690923543915	1690923545283
USER	Get Token Scenario	3	START	1690923545918	1690923545918
REQUEST	3		GetToken	1690923545919	1690923546172	OK	 
USER	Get Token Scenario	2	END	1690923544923	1690923546194
USER	Get Token Scenario	4	START	1690923546920	1690923546920
USER	Get Token Scenario	3	END	1690923545918	1690923547197
REQUEST	4		GetToken	1690923546922	1690923547262	OK	 
USER	Get Token Scenario	5	START	1690923547924	1690923547924
REQUEST	5		GetToken	1690923547925	1690923548164	OK	 
USER	Get Token Scenario	4	END	1690923546920	1690923548279
USER	Get Token Scenario	6	START	1690923548898	1690923548898
REQUEST	6		GetToken	1690923548899	1690923549147	OK	 
USER	Get Token Scenario	5	END	1690923547924	1690923549178
USER	Get Token Scenario	7	START	1690923549904	1690923549904
REQUEST	7		GetToken	1690923549906	1690923550162	OK	 
USER	Get Token Scenario	6	END	1690923548898	1690923550168
USER	Get Token Scenario	8	START	1690923550923	1690923550923
REQUEST	8		GetToken	1690923550924	1690923551156	OK	 
USER	Get Token Scenario	7	END	1690923549904	1690923551171
USER	Get Token Scenario	9	START	1690923551898	1690923551898
REQUEST	9		GetToken	1690923551899	1690923552142	OK	 
USER	Get Token Scenario	8	END	1690923550923	1690923552178
USER	Get Token Scenario	10	START	1690923552906	1690923552906
USER	Get Token Scenario	9	END	1690923551898	1690923553155
REQUEST	10		GetToken	1690923552907	1690923553171	OK	 
USER	Get Token Scenario	10	END	1690923552906	1690923554191
