RUN	simulations.GetTokenSimulation	gettokensimulation	1690300937709	 	3.3.1
USER	Get Token Scenario	1	START	1690300939260	1690300939260
REQUEST	1		GetToken	1690300939295	1690300939658	OK	 
USER	Get Token Scenario	2	START	1690300940266	1690300940266
REQUEST	2		GetToken	1690300940267	1690300940556	OK	 
USER	Get Token Scenario	1	END	1690300939260	1690300940677
USER	Get Token Scenario	3	START	1690300941268	1690300941268
REQUEST	3		GetToken	1690300941268	1690300941498	OK	 
USER	Get Token Scenario	2	END	1690300940266	1690300941575
USER	Get Token Scenario	4	START	1690300942267	1690300942267
USER	Get Token Scenario	3	END	1690300941268	1690300942518
REQUEST	4		GetToken	1690300942268	1690300942565	OK	 
USER	Get Token Scenario	5	START	1690300943263	1690300943263
USER	Get Token Scenario	4	END	1690300942267	1690300943586
REQUEST	5		GetToken	1690300943265	1690300943588	OK	 
USER	Get Token Scenario	6	START	1690300944276	1690300944276
REQUEST	6		GetToken	1690300944277	1690300944569	OK	 
USER	Get Token Scenario	5	END	1690300943263	1690300944607
USER	Get Token Scenario	7	START	1690300945268	1690300945268
USER	Get Token Scenario	6	END	1690300944276	1690300945575
REQUEST	7		GetToken	1690300945269	1690300945592	OK	 
USER	Get Token Scenario	8	START	1690300946255	1690300946255
REQUEST	8		GetToken	1690300946257	1690300946482	OK	 
USER	Get Token Scenario	7	END	1690300945268	1690300946607
USER	Get Token Scenario	9	START	1690300947267	1690300947267
REQUEST	9		GetToken	1690300947268	1690300947490	OK	 
USER	Get Token Scenario	8	END	1690300946255	1690300947499
USER	Get Token Scenario	10	START	1690300948263	1690300948263
REQUEST	10		GetToken	1690300948264	1690300948497	OK	 
USER	Get Token Scenario	9	END	1690300947267	1690300948504
USER	Get Token Scenario	10	END	1690300948263	1690300949515
