RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1691003020449	 	3.3.1
USER	Get Data Scenario	1	START	1691003021979	1691003021979
USER	Get Data Scenario	2	START	1691003022068	1691003022068
USER	Get Data Scenario	3	START	1691003022131	1691003022131
USER	Get Data Scenario	4	START	1691003022207	1691003022207
USER	Get Data Scenario	5	START	1691003022271	1691003022271
USER	Get Data Scenario	6	START	1691003022347	1691003022347
USER	Get Data Scenario	7	START	1691003022411	1691003022411
USER	Get Data Scenario	8	START	1691003022491	1691003022491
USER	Get Data Scenario	9	START	1691003022566	1691003022566
USER	Get Data Scenario	10	START	1691003022631	1691003022631
USER	Get Data Scenario	11	START	1691003022705	1691003022705
USER	Get Data Scenario	12	START	1691003022771	1691003022771
USER	Get Data Scenario	13	START	1691003022847	1691003022847
USER	Get Data Scenario	14	START	1691003022911	1691003022911
USER	Get Data Scenario	15	START	1691003023001	1691003023001
USER	Get Data Scenario	16	START	1691003023063	1691003023063
USER	Get Data Scenario	17	START	1691003023141	1691003023141
USER	Get Data Scenario	18	START	1691003023221	1691003023221
USER	Get Data Scenario	19	START	1691003023296	1691003023296
USER	Get Data Scenario	20	START	1691003023373	1691003023373
USER	Get Data Scenario	21	START	1691003023451	1691003023451
USER	Get Data Scenario	22	START	1691003023528	1691003023528
USER	Get Data Scenario	23	START	1691003023605	1691003023605
USER	Get Data Scenario	24	START	1691003023681	1691003023681
USER	Get Data Scenario	25	START	1691003023757	1691003023757
USER	Get Data Scenario	26	START	1691003023835	1691003023835
USER	Get Data Scenario	27	START	1691003023912	1691003023912
USER	Get Data Scenario	28	START	1691003023992	1691003023992
USER	Get Data Scenario	29	START	1691003024071	1691003024071
USER	Get Data Scenario	30	START	1691003024145	1691003024145
USER	Get Data Scenario	31	START	1691003024223	1691003024223
USER	Get Data Scenario	32	START	1691003024301	1691003024301
USER	Get Data Scenario	33	START	1691003024379	1691003024379
USER	Get Data Scenario	34	START	1691003024457	1691003024457
USER	Get Data Scenario	35	START	1691003024535	1691003024535
USER	Get Data Scenario	36	START	1691003024614	1691003024614
USER	Get Data Scenario	37	START	1691003024691	1691003024691
USER	Get Data Scenario	38	START	1691003024768	1691003024768
USER	Get Data Scenario	39	START	1691003024845	1691003024845
USER	Get Data Scenario	40	START	1691003024911	1691003024911
USER	Get Data Scenario	41	START	1691003025000	1691003025000
USER	Get Data Scenario	42	START	1691003025047	1691003025047
USER	Get Data Scenario	43	START	1691003025111	1691003025111
USER	Get Data Scenario	44	START	1691003025191	1691003025191
USER	Get Data Scenario	45	START	1691003025280	1691003025280
USER	Get Data Scenario	46	START	1691003025358	1691003025358
USER	Get Data Scenario	47	START	1691003025421	1691003025421
USER	Get Data Scenario	48	START	1691003025498	1691003025498
USER	Get Data Scenario	49	START	1691003025562	1691003025562
USER	Get Data Scenario	50	START	1691003025639	1691003025639
USER	Get Data Scenario	51	START	1691003025717	1691003025717
USER	Get Data Scenario	52	START	1691003025781	1691003025781
USER	Get Data Scenario	53	START	1691003025855	1691003025855
USER	Get Data Scenario	54	START	1691003025921	1691003025921
USER	Get Data Scenario	55	START	1691003025995	1691003025995
USER	Get Data Scenario	56	START	1691003026058	1691003026058
USER	Get Data Scenario	57	START	1691003026121	1691003026121
USER	Get Data Scenario	58	START	1691003026201	1691003026201
USER	Get Data Scenario	59	START	1691003026305	1691003026305
USER	Get Data Scenario	60	START	1691003026382	1691003026382
USER	Get Data Scenario	61	START	1691003026460	1691003026460
USER	Get Data Scenario	62	START	1691003026537	1691003026537
USER	Get Data Scenario	63	START	1691003026614	1691003026614
USER	Get Data Scenario	64	START	1691003026692	1691003026692
USER	Get Data Scenario	65	START	1691003026770	1691003026770
USER	Get Data Scenario	66	START	1691003026850	1691003026850
USER	Get Data Scenario	67	START	1691003026927	1691003026927
USER	Get Data Scenario	68	START	1691003026991	1691003026991
USER	Get Data Scenario	69	START	1691003027068	1691003027068
USER	Get Data Scenario	70	START	1691003027146	1691003027146
USER	Get Data Scenario	71	START	1691003027223	1691003027223
USER	Get Data Scenario	72	START	1691003027301	1691003027301
USER	Get Data Scenario	73	START	1691003027378	1691003027378
USER	Get Data Scenario	74	START	1691003027457	1691003027457
USER	Get Data Scenario	75	START	1691003027534	1691003027534
USER	Get Data Scenario	76	START	1691003027612	1691003027612
USER	Get Data Scenario	77	START	1691003027689	1691003027689
USER	Get Data Scenario	78	START	1691003027766	1691003027766
USER	Get Data Scenario	79	START	1691003027831	1691003027831
USER	Get Data Scenario	80	START	1691003027920	1691003027920
USER	Get Data Scenario	81	START	1691003027997	1691003027997
USER	Get Data Scenario	82	START	1691003028059	1691003028059
USER	Get Data Scenario	83	START	1691003028121	1691003028121
USER	Get Data Scenario	84	START	1691003028199	1691003028199
USER	Get Data Scenario	85	START	1691003028262	1691003028262
USER	Get Data Scenario	86	START	1691003028339	1691003028339
USER	Get Data Scenario	87	START	1691003028402	1691003028402
USER	Get Data Scenario	88	START	1691003028480	1691003028480
USER	Get Data Scenario	89	START	1691003028560	1691003028560
