RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686926127459	 	3.3.1
USER	Get Data Scenario	1	START	1686926129608	1686926129608
USER	Get Data Scenario	2	START	1686926129609	1686926129609
USER	Get Data Scenario	3	START	1686926129681	1686926129681
USER	Get Data Scenario	4	START	1686926129683	1686926129683
USER	Get Data Scenario	5	START	1686926129702	1686926129702
USER	Get Data Scenario	6	START	1686926129723	1686926129723
USER	Get Data Scenario	7	START	1686926129752	1686926129752
USER	Get Data Scenario	8	START	1686926129763	1686926129763
USER	Get Data Scenario	9	START	1686926129809	1686926129809
USER	Get Data Scenario	10	START	1686926129822	1686926129822
USER	Get Data Scenario	11	START	1686926129822	1686926129822
USER	Get Data Scenario	12	START	1686926129842	1686926129842
USER	Get Data Scenario	13	START	1686926129865	1686926129865
USER	Get Data Scenario	14	START	1686926129880	1686926129880
USER	Get Data Scenario	15	START	1686926129901	1686926129901
USER	Get Data Scenario	16	START	1686926129999	1686926129999
USER	Get Data Scenario	17	START	1686926130003	1686926130003
USER	Get Data Scenario	18	START	1686926130003	1686926130003
USER	Get Data Scenario	19	START	1686926130004	1686926130004
USER	Get Data Scenario	20	START	1686926130005	1686926130005
USER	Get Data Scenario	21	START	1686926130027	1686926130027
USER	Get Data Scenario	22	START	1686926130098	1686926130098
USER	Get Data Scenario	24	START	1686926130099	1686926130099
USER	Get Data Scenario	23	START	1686926130099	1686926130099
USER	Get Data Scenario	25	START	1686926130115	1686926130115
USER	Get Data Scenario	26	START	1686926130121	1686926130121
USER	Get Data Scenario	27	START	1686926130150	1686926130150
USER	Get Data Scenario	28	START	1686926130169	1686926130169
USER	Get Data Scenario	29	START	1686926130183	1686926130183
USER	Get Data Scenario	30	START	1686926130203	1686926130203
USER	Get Data Scenario	31	START	1686926130225	1686926130225
USER	Get Data Scenario	32	START	1686926130240	1686926130240
USER	Get Data Scenario	33	START	1686926130261	1686926130261
USER	Get Data Scenario	34	START	1686926130288	1686926130288
USER	Get Data Scenario	35	START	1686926130301	1686926130301
USER	Get Data Scenario	36	START	1686926130330	1686926130330
USER	Get Data Scenario	37	START	1686926130343	1686926130343
USER	Get Data Scenario	38	START	1686926130365	1686926130365
USER	Get Data Scenario	39	START	1686926130383	1686926130383
USER	Get Data Scenario	40	START	1686926130401	1686926130401
USER	Get Data Scenario	41	START	1686926130445	1686926130445
USER	Get Data Scenario	42	START	1686926130445	1686926130445
USER	Get Data Scenario	43	START	1686926130460	1686926130460
USER	Get Data Scenario	44	START	1686926130481	1686926130481
USER	Get Data Scenario	45	START	1686926130501	1686926130501
USER	Get Data Scenario	46	START	1686926130524	1686926130524
USER	Get Data Scenario	47	START	1686926130542	1686926130542
USER	Get Data Scenario	48	START	1686926130561	1686926130561
USER	Get Data Scenario	49	START	1686926130588	1686926130588
USER	Get Data Scenario	50	START	1686926130602	1686926130602
REQUEST	9		Get Data	1686926129811	1686926131823	OK	 
REQUEST	16		Get Data	1686926130001	1686926131830	OK	 
REQUEST	36		Get Data	1686926130332	1686926131854	OK	 
REQUEST	18		Get Data	1686926130006	1686926131814	OK	 
REQUEST	15		Get Data	1686926129903	1686926131826	OK	 
REQUEST	3		Get Data	1686926129708	1686926131823	OK	 
REQUEST	7		Get Data	1686926129754	1686926131748	OK	 
REQUEST	1		Get Data	1686926129705	1686926131879	OK	 
REQUEST	19		Get Data	1686926130006	1686926131879	OK	 
REQUEST	23		Get Data	1686926130103	1686926131882	OK	 
REQUEST	17		Get Data	1686926130005	1686926131883	OK	 
REQUEST	2		Get Data	1686926129707	1686926131926	OK	 
REQUEST	24		Get Data	1686926130102	1686926131932	OK	 
REQUEST	27		Get Data	1686926130152	1686926131934	OK	 
REQUEST	11		Get Data	1686926129824	1686926131944	OK	 
REQUEST	42		Get Data	1686926130448	1686926131948	OK	 
REQUEST	35		Get Data	1686926130302	1686926131957	OK	 
REQUEST	40		Get Data	1686926130402	1686926131969	OK	 
REQUEST	50		Get Data	1686926130604	1686926131969	OK	 
REQUEST	44		Get Data	1686926130482	1686926131970	OK	 
REQUEST	31		Get Data	1686926130227	1686926131979	OK	 
REQUEST	22		Get Data	1686926130101	1686926131979	OK	 
REQUEST	25		Get Data	1686926130117	1686926131981	OK	 
REQUEST	41		Get Data	1686926130447	1686926131983	OK	 
REQUEST	33		Get Data	1686926130263	1686926131984	OK	 
REQUEST	14		Get Data	1686926129882	1686926132026	OK	 
REQUEST	45		Get Data	1686926130503	1686926132046	OK	 
REQUEST	6		Get Data	1686926129725	1686926132107	OK	 
REQUEST	10		Get Data	1686926129823	1686926132109	OK	 
REQUEST	39		Get Data	1686926130385	1686926132187	OK	 
REQUEST	43		Get Data	1686926130462	1686926132187	OK	 
REQUEST	34		Get Data	1686926130290	1686926132288	OK	 
REQUEST	26		Get Data	1686926130123	1686926132302	OK	 
REQUEST	30		Get Data	1686926130205	1686926132390	OK	 
REQUEST	13		Get Data	1686926129867	1686926132391	OK	 
REQUEST	47		Get Data	1686926130543	1686926132392	OK	 
REQUEST	46		Get Data	1686926130526	1686926132396	OK	 
REQUEST	38		Get Data	1686926130366	1686926132397	OK	 
