RUN	simulations.GetTokenSimulation	gettokensimulation	1690983979550	 	3.3.1
USER	Get Token Scenario	1	START	1690983980733	1690983980733
USER	Get Token Scenario	2	START	1690983980855	1690983980855
USER	Get Token Scenario	3	START	1690983980950	1690983980950
USER	Get Token Scenario	4	START	1690983981057	1690983981057
USER	Get Token Scenario	5	START	1690983981150	1690983981150
REQUEST	1		GetToken	1690983980766	1690983981165	OK	 
REQUEST	2		GetToken	1690983980856	1690983981164	OK	 
REQUEST	3		GetToken	1690983980951	1690983981251	OK	 
USER	Get Token Scenario	6	START	1690983981258	1690983981258
REQUEST	4		GetToken	1690983981058	1690983981333	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	START	1690983981352	1690983981352
REQUEST	5		GetToken	1690983981151	1690983981379	OK	 
USER	Get Token Scenario	8	START	1690983981450	1690983981450
REQUEST	6		GetToken	1690983981259	1690983981480	OK	 
USER	Get Token Scenario	9	START	1690983981556	1690983981556
USER	Get Token Scenario	10	START	1690983981651	1690983981651
REQUEST	7		GetToken	1690983981353	1690983981671	OK	 
REQUEST	8		GetToken	1690983981451	1690983981745	KO	jsonPath($.access_token).find.exists, found nothing
REQUEST	9		GetToken	1690983981557	1690983981866	OK	 
REQUEST	10		GetToken	1690983981652	1690983981962	OK	 
USER	Get Token Scenario	1	END	1690983980733	1690983982182
USER	Get Token Scenario	2	END	1690983980855	1690983982182
USER	Get Token Scenario	3	END	1690983980950	1690983982260
USER	Get Token Scenario	4	END	1690983981057	1690983982367
USER	Get Token Scenario	5	END	1690983981150	1690983982398
USER	Get Token Scenario	6	END	1690983981258	1690983982507
USER	Get Token Scenario	7	END	1690983981352	1690983982694
USER	Get Token Scenario	8	END	1690983981450	1690983982772
USER	Get Token Scenario	9	END	1690983981556	1690983982880
USER	Get Token Scenario	10	END	1690983981651	1690983982988
