RUN	simulations.GetTokenSimulation	gettokensimulation	1690923271400	 	3.3.1
USER	Get Token Scenario	1	START	1690923272791	1690923272791
REQUEST	1		GetToken	1690923272834	1690923273166	OK	 
USER	Get Token Scenario	1	END	1690923272791	1690923274187
USER	Get Token Scenario	2	START	1690923276779	1690923276779
REQUEST	2		GetToken	1690923276780	1690923277036	OK	 
USER	Get Token Scenario	2	END	1690923276779	1690923278045
USER	Get Token Scenario	3	START	1690923280795	1690923280795
REQUEST	3		GetToken	1690923280796	1690923281104	OK	 
USER	Get Token Scenario	3	END	1690923280795	1690923282128
USER	Get Token Scenario	4	START	1690923284799	1690923284799
REQUEST	4		GetToken	1690923284799	1690923285037	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	4	END	1690923284799	1690923286070
USER	Get Token Scenario	5	START	1690923288795	1690923288795
REQUEST	5		GetToken	1690923288796	1690923289055	OK	 
USER	Get Token Scenario	5	END	1690923288795	1690923290067
USER	Get Token Scenario	6	START	1690923292798	1690923292798
REQUEST	6		GetToken	1690923292799	1690923293033	OK	 
USER	Get Token Scenario	6	END	1690923292798	1690923294039
USER	Get Token Scenario	7	START	1690923296803	1690923296803
REQUEST	7		GetToken	1690923296804	1690923297048	OK	 
USER	Get Token Scenario	7	END	1690923296803	1690923298055
USER	Get Token Scenario	8	START	1690923300777	1690923300777
REQUEST	8		GetToken	1690923300779	1690923301027	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	8	END	1690923300777	1690923302045
USER	Get Token Scenario	9	START	1690923304801	1690923304801
REQUEST	9		GetToken	1690923304803	1690923305179	OK	 
USER	Get Token Scenario	9	END	1690923304801	1690923306195
USER	Get Token Scenario	10	START	1690923308795	1690923308795
REQUEST	10		GetToken	1690923308796	1690923309095	OK	 
USER	Get Token Scenario	10	END	1690923308795	1690923310105
