RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1687462883830	 	3.3.1
USER	Get Data Scenario	2	START	1687462885612	1687462885612
USER	Get Data Scenario	1	START	1687462885612	1687462885612
USER	Get Data Scenario	3	START	1687462885632	1687462885632
USER	Get Data Scenario	4	START	1687462885637	1687462885637
USER	Get Data Scenario	5	START	1687462885648	1687462885648
USER	Get Data Scenario	6	START	1687462885664	1687462885664
USER	Get Data Scenario	7	START	1687462885667	1687462885667
USER	Get Data Scenario	8	START	1687462885679	1687462885679
USER	Get Data Scenario	9	START	1687462885694	1687462885694
USER	Get Data Scenario	10	START	1687462885697	1687462885697
USER	Get Data Scenario	11	START	1687462885711	1687462885711
USER	Get Data Scenario	12	START	1687462885725	1687462885725
USER	Get Data Scenario	13	START	1687462885727	1687462885727
USER	Get Data Scenario	14	START	1687462885762	1687462885762
USER	Get Data Scenario	15	START	1687462885764	1687462885764
USER	Get Data Scenario	17	START	1687462885772	1687462885772
USER	Get Data Scenario	16	START	1687462885772	1687462885772
USER	Get Data Scenario	18	START	1687462885777	1687462885777
USER	Get Data Scenario	19	START	1687462885787	1687462885787
USER	Get Data Scenario	20	START	1687462885803	1687462885803
USER	Get Data Scenario	21	START	1687462885807	1687462885807
USER	Get Data Scenario	22	START	1687462885818	1687462885818
USER	Get Data Scenario	23	START	1687462885834	1687462885834
USER	Get Data Scenario	24	START	1687462885837	1687462885837
USER	Get Data Scenario	25	START	1687462885848	1687462885848
USER	Get Data Scenario	26	START	1687462885864	1687462885864
USER	Get Data Scenario	27	START	1687462885867	1687462885867
USER	Get Data Scenario	28	START	1687462885879	1687462885879
USER	Get Data Scenario	29	START	1687462885895	1687462885895
USER	Get Data Scenario	30	START	1687462885897	1687462885897
USER	Get Data Scenario	31	START	1687462885911	1687462885911
USER	Get Data Scenario	32	START	1687462885926	1687462885926
USER	Get Data Scenario	33	START	1687462885927	1687462885927
USER	Get Data Scenario	34	START	1687462885942	1687462885942
USER	Get Data Scenario	35	START	1687462885947	1687462885947
USER	Get Data Scenario	36	START	1687462885957	1687462885957
USER	Get Data Scenario	37	START	1687462885972	1687462885972
USER	Get Data Scenario	38	START	1687462885977	1687462885977
USER	Get Data Scenario	39	START	1687462885987	1687462885987
USER	Get Data Scenario	40	START	1687462886003	1687462886003
USER	Get Data Scenario	41	START	1687462886007	1687462886007
USER	Get Data Scenario	42	START	1687462886019	1687462886019
USER	Get Data Scenario	43	START	1687462886034	1687462886034
USER	Get Data Scenario	44	START	1687462886037	1687462886037
REQUEST	13		Get Data	1687462885728	1687462886024	OK	 
REQUEST	7		Get Data	1687462885667	1687462885979	OK	 
REQUEST	9		Get Data	1687462885696	1687462885999	OK	 
