RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1687288884633	 	3.3.1
REQUEST	34		Get Data	1687288886736	1687288887144	OK	 
USER	Get Data Scenario	73	START	1687288887150	1687288887150
USER	Get Data Scenario	74	START	1687288887153	1687288887153
USER	Get Data Scenario	75	START	1687288887166	1687288887166
REQUEST	53		Get Data	1687288886951	1687288887172	OK	 
REQUEST	46		Get Data	1687288886879	1687288887180	OK	 
USER	Get Data Scenario	76	START	1687288887181	1687288887181
USER	Get Data Scenario	77	START	1687288887183	1687288887183
USER	Get Data Scenario	78	START	1687288887195	1687288887195
REQUEST	51		Get Data	1687288886926	1687288887202	OK	 
REQUEST	56		Get Data	1687288886982	1687288887207	OK	 
USER	Get Data Scenario	79	START	1687288887210	1687288887210
USER	Get Data Scenario	80	START	1687288887213	1687288887213
REQUEST	59		Get Data	1687288887014	1687288887220	OK	 
REQUEST	12		Get Data	1687288886521	1687288887220	OK	 
REQUEST	37		Get Data	1687288886767	1687288887221	OK	 
REQUEST	43		Get Data	1687288886828	1687288887222	OK	 
REQUEST	41		Get Data	1687288886813	1687288887222	OK	 
REQUEST	44		Get Data	1687288886859	1687288887222	OK	 
REQUEST	45		Get Data	1687288886865	1687288887222	OK	 
USER	Get Data Scenario	81	START	1687288887236	1687288887236
USER	Get Data Scenario	82	START	1687288887237	1687288887237
REQUEST	38		Get Data	1687288886782	1687288887244	OK	 
USER	Get Data Scenario	83	START	1687288887257	1687288887257
USER	Get Data Scenario	84	START	1687288887257	1687288887257
REQUEST	63		Get Data	1687288887045	1687288887258	OK	 
REQUEST	52		Get Data	1687288886937	1687288887272	OK	 
REQUEST	49		Get Data	1687288886922	1687288887272	OK	 
REQUEST	64		Get Data	1687288887061	1687288887273	OK	 
REQUEST	62		Get Data	1687288887044	1687288887282	OK	 
USER	Get Data Scenario	86	START	1687288887282	1687288887282
REQUEST	55		Get Data	1687288886967	1687288887284	OK	 
USER	Get Data Scenario	85	START	1687288887281	1687288887281
REQUEST	48		Get Data	1687288886898	1687288887294	OK	 
USER	Get Data Scenario	87	START	1687288887294	1687288887294
USER	Get Data Scenario	88	START	1687288887294	1687288887294
REQUEST	54		Get Data	1687288886954	1687288887318	OK	 
REQUEST	60		Get Data	1687288887014	1687288887318	OK	 
USER	Get Data Scenario	90	START	1687288887326	1687288887326
USER	Get Data Scenario	89	START	1687288887326	1687288887326
REQUEST	65		Get Data	1687288887064	1687288887328	OK	 
USER	Get Data Scenario	91	START	1687288887328	1687288887328
REQUEST	67		Get Data	1687288887090	1687288887329	OK	 
REQUEST	58		Get Data	1687288886998	1687288887331	OK	 
REQUEST	71		Get Data	1687288887124	1687288887331	OK	 
USER	Get Data Scenario	92	START	1687288887333	1687288887333
REQUEST	66		Get Data	1687288887075	1687288887341	OK	 
REQUEST	57		Get Data	1687288886984	1687288887343	OK	 
USER	Get Data Scenario	93	START	1687288887348	1687288887348
USER	Get Data Scenario	94	START	1687288887353	1687288887353
REQUEST	61		Get Data	1687288887029	1687288887361	OK	 
REQUEST	69		Get Data	1687288887105	1687288887363	OK	 
REQUEST	72		Get Data	1687288887137	1687288887363	OK	 
REQUEST	70		Get Data	1687288887123	1687288887363	OK	 
USER	Get Data Scenario	95	START	1687288887365	1687288887365
USER	Get Data Scenario	96	START	1687288887378	1687288887378
REQUEST	68		Get Data	1687288887094	1687288887379	OK	 
USER	Get Data Scenario	97	START	1687288887383	1687288887383
USER	Get Data Scenario	98	START	1687288887394	1687288887394
USER	Get Data Scenario	99	START	1687288887410	1687288887410
USER	Get Data Scenario	100	START	1687288887413	1687288887413
REQUEST	75		Get Data	1687288887171	1687288887422	OK	 
REQUEST	74		Get Data	1687288887154	1687288887424	OK	 
REQUEST	73		Get Data	1687288887153	1687288887439	OK	 
REQUEST	80		Get Data	1687288887214	1687288887448	OK	 
REQUEST	82		Get Data	1687288887239	1687288887451	OK	 
REQUEST	79		Get Data	1687288887212	1687288887470	OK	 
REQUEST	76		Get Data	1687288887184	1687288887479	OK	 
REQUEST	83		Get Data	1687288887259	1687288887502	OK	 
REQUEST	84		Get Data	1687288887260	1687288887518	OK	 
REQUEST	88		Get Data	1687288887303	1687288887526	OK	 
REQUEST	78		Get Data	1687288887197	1687288887561	OK	 
REQUEST	96		Get Data	1687288887380	1687288887604	OK	 
REQUEST	87		Get Data	1687288887299	1687288887604	OK	 
REQUEST	94		Get Data	1687288887355	1687288887610	OK	 
REQUEST	85		Get Data	1687288887290	1687288887614	OK	 
REQUEST	98		Get Data	1687288887396	1687288887633	OK	 
REQUEST	91		Get Data	1687288887331	1687288887640	OK	 
REQUEST	93		Get Data	1687288887350	1687288887672	OK	 
REQUEST	92		Get Data	1687288887335	1687288887673	OK	 
REQUEST	100		Get Data	1687288887414	1687288887694	OK	 
REQUEST	89		Get Data	1687288887329	1687288887769	OK	 
REQUEST	99		Get Data	1687288887411	1687288887769	OK	 
REQUEST	21		Get Data	1687288886634	1687288887771	OK	 
REQUEST	95		Get Data	1687288887367	1687288887775	OK	 
REQUEST	86		Get Data	1687288887289	1687288887775	OK	 
REQUEST	77		Get Data	1687288887187	1687288887775	OK	 
REQUEST	97		Get Data	1687288887384	1687288887778	OK	 
REQUEST	90		Get Data	1687288887327	1687288887771	KO	status.find.is(200), but actually found 400
REQUEST	81		Get Data	1687288887238	1687288887784	OK	 
REQUEST	2		Get Data	1687288886449	1687288887860	OK	 
REQUEST	18		Get Data	1687288887857	1687288887955	OK	 
REQUEST	6		Get Data	1687288887889	1687288887994	OK	 
REQUEST	4		Get Data	1687288887888	1687288887995	OK	 
REQUEST	8		Get Data	1687288887889	1687288888002	OK	 
REQUEST	15		Get Data	1687288887903	1687288888011	OK	 
REQUEST	1		Get Data	1687288887889	1687288888012	OK	 
REQUEST	14		Get Data	1687288887844	1687288888014	OK	 
REQUEST	7		Get Data	1687288887918	1687288888022	OK	 
REQUEST	5		Get Data	1687288887919	1687288888023	OK	 
REQUEST	3		Get Data	1687288887924	1687288888039	OK	 
REQUEST	10		Get Data	1687288887924	1687288888053	OK	 
REQUEST	19		Get Data	1687288887919	1687288888057	OK	 
REQUEST	23		Get Data	1687288887955	1687288888060	OK	 
REQUEST	32		Get Data	1687288887955	1687288888069	OK	 
REQUEST	27		Get Data	1687288887954	1687288888071	OK	 
REQUEST	13		Get Data	1687288887954	1687288888071	OK	 
REQUEST	20		Get Data	1687288887949	1687288888077	OK	 
REQUEST	26		Get Data	1687288887954	1687288888089	OK	 
REQUEST	9		Get Data	1687288887953	1687288888104	OK	 
REQUEST	11		Get Data	1687288887923	1687288888106	OK	 
REQUEST	22		Get Data	1687288888014	1687288888120	OK	 
REQUEST	35		Get Data	1687288888043	1687288888140	OK	 
REQUEST	29		Get Data	1687288887996	1687288888151	OK	 
REQUEST	30		Get Data	1687288888075	1687288888178	OK	 
REQUEST	16		Get Data	1687288888074	1687288888180	OK	 
REQUEST	33		Get Data	1687288888043	1687288888183	OK	 
REQUEST	39		Get Data	1687288888074	1687288888185	OK	 
REQUEST	42		Get Data	1687288888124	1687288888221	OK	 
REQUEST	28		Get Data	1687288888124	1687288888222	OK	 
REQUEST	40		Get Data	1687288888120	1687288888224	OK	 
REQUEST	47		Get Data	1687288888123	1687288888224	OK	 
REQUEST	36		Get Data	1687288888137	1687288888239	OK	 
REQUEST	17		Get Data	1687288888155	1687288888253	OK	 
REQUEST	25		Get Data	1687288888154	1687288888253	OK	 
REQUEST	24		Get Data	1687288888155	1687288888254	OK	 
REQUEST	50		Get Data	1687288888154	1687288888254	OK	 
REQUEST	34		Get Data	1687288888155	1687288888255	OK	 
REQUEST	31		Get Data	1687288888156	1687288888256	OK	 
REQUEST	46		Get Data	1687288888184	1687288888282	OK	 
REQUEST	53		Get Data	1687288888183	1687288888284	OK	 
REQUEST	56		Get Data	1687288888214	1687288888317	OK	 
REQUEST	51		Get Data	1687288888214	1687288888322	OK	 
REQUEST	45		Get Data	1687288888243	1687288888349	OK	 
REQUEST	37		Get Data	1687288888245	1687288888353	OK	 
REQUEST	12		Get Data	1687288888244	1687288888355	OK	 
REQUEST	41		Get Data	1687288888246	1687288888357	OK	 
REQUEST	38		Get Data	1687288888263	1687288888377	OK	 
REQUEST	43		Get Data	1687288888245	1687288888400	OK	 
REQUEST	63		Get Data	1687288888275	1687288888400	OK	 
REQUEST	52		Get Data	1687288888290	1687288888405	OK	 
REQUEST	62		Get Data	1687288888306	1687288888413	OK	 
REQUEST	60		Get Data	1687288888325	1687288888424	OK	 
REQUEST	48		Get Data	1687288888324	1687288888428	OK	 
REQUEST	55		Get Data	1687288888325	1687288888428	OK	 
REQUEST	67		Get Data	1687288888339	1687288888442	OK	 
REQUEST	65		Get Data	1687288888338	1687288888442	OK	 
REQUEST	58		Get Data	1687288888338	1687288888445	OK	 
REQUEST	54		Get Data	1687288888325	1687288888453	OK	 
REQUEST	66		Get Data	1687288888354	1687288888453	OK	 
REQUEST	57		Get Data	1687288888354	1687288888453	OK	 
REQUEST	71		Get Data	1687288888353	1687288888457	OK	 
REQUEST	49		Get Data	1687288888324	1687288888494	OK	 
REQUEST	68		Get Data	1687288888386	1687288888499	OK	 
REQUEST	61		Get Data	1687288888385	1687288888502	OK	 
REQUEST	70		Get Data	1687288888386	1687288888508	OK	 
REQUEST	72		Get Data	1687288888386	1687288888509	OK	 
REQUEST	69		Get Data	1687288888384	1687288888535	OK	 
REQUEST	74		Get Data	1687288888433	1687288888539	OK	 
REQUEST	75		Get Data	1687288888434	1687288888543	OK	 
REQUEST	44		Get Data	1687288888246	1687288888552	OK	 
REQUEST	73		Get Data	1687288888462	1687288888573	OK	 
REQUEST	79		Get Data	1687288888478	1687288888578	OK	 
REQUEST	80		Get Data	1687288888477	1687288888579	OK	 
REQUEST	82		Get Data	1687288888477	1687288888580	OK	 
REQUEST	76		Get Data	1687288888493	1687288888631	OK	 
REQUEST	83		Get Data	1687288888524	1687288888644	KO	status.find.is(200), but actually found 400
REQUEST	84		Get Data	1687288888540	1687288888649	OK	 
REQUEST	88		Get Data	1687288888539	1687288888655	OK	 
REQUEST	59		Get Data	1687288888245	1687288888659	OK	 
REQUEST	87		Get Data	1687288888618	1687288888716	OK	 
REQUEST	94		Get Data	1687288888617	1687288888717	OK	 
REQUEST	96		Get Data	1687288888617	1687288888718	OK	 
REQUEST	78		Get Data	1687288888573	1687288888724	OK	 
REQUEST	85		Get Data	1687288888633	1687288888735	OK	 
REQUEST	98		Get Data	1687288888647	1687288888761	OK	 
REQUEST	91		Get Data	1687288888648	1687288888763	OK	 
REQUEST	93		Get Data	1687288888678	1687288888778	OK	 
REQUEST	92		Get Data	1687288888694	1687288888795	OK	 
REQUEST	100		Get Data	1687288888709	1687288888811	OK	 
REQUEST	64		Get Data	1687288888306	1687288888871	OK	 
REQUEST	90		Get Data	1687288888774	1687288888874	OK	 
REQUEST	89		Get Data	1687288888788	1687288888886	OK	 
REQUEST	97		Get Data	1687288888789	1687288888901	OK	 
REQUEST	86		Get Data	1687288888789	1687288888903	OK	 
REQUEST	77		Get Data	1687288888788	1687288888903	OK	 
REQUEST	21		Get Data	1687288888789	1687288888903	OK	 
REQUEST	99		Get Data	1687288888789	1687288888904	OK	 
REQUEST	81		Get Data	1687288888802	1687288888904	OK	 
REQUEST	95		Get Data	1687288888788	1687288888913	OK	 
REQUEST	2		Get Data	1687288888878	1687288889000	OK	 
REQUEST	18		Get Data	1687288888943	1687288889044	OK	 
REQUEST	8		Get Data	1687288888973	1687288889074	OK	 
REQUEST	6		Get Data	1687288888987	1687288889084	OK	 
REQUEST	4		Get Data	1687288888987	1687288889085	OK	 
REQUEST	15		Get Data	1687288888987	1687288889096	OK	 
REQUEST	7		Get Data	1687288889004	1687288889110	OK	 
REQUEST	14		Get Data	1687288889004	1687288889116	OK	 
REQUEST	19		Get Data	1687288889034	1687288889129	OK	 
REQUEST	10		Get Data	1687288889033	1687288889135	OK	 
REQUEST	3		Get Data	1687288889033	1687288889139	OK	 
REQUEST	1		Get Data	1687288889003	1687288889169	OK	 
REQUEST	27		Get Data	1687288889079	1687288889186	OK	 
REQUEST	32		Get Data	1687288889084	1687288889187	OK	 
REQUEST	20		Get Data	1687288889084	1687288889190	OK	 
REQUEST	26		Get Data	1687288889084	1687288889191	OK	 
REQUEST	23		Get Data	1687288889083	1687288889195	OK	 
REQUEST	11		Get Data	1687288889095	1687288889199	OK	 
REQUEST	22		Get Data	1687288889113	1687288889217	OK	 
REQUEST	9		Get Data	1687288889125	1687288889234	OK	 
REQUEST	13		Get Data	1687288889084	1687288889238	OK	 
REQUEST	35		Get Data	1687288889140	1687288889241	OK	 
REQUEST	29		Get Data	1687288889143	1687288889248	OK	 
REQUEST	30		Get Data	1687288889155	1687288889259	OK	 
REQUEST	16		Get Data	1687288889155	1687288889260	OK	 
REQUEST	39		Get Data	1687288889185	1687288889286	OK	 
REQUEST	33		Get Data	1687288889185	1687288889288	OK	 
REQUEST	40		Get Data	1687288889215	1687288889318	OK	 
REQUEST	42		Get Data	1687288889230	1687288889329	OK	 
REQUEST	47		Get Data	1687288889230	1687288889331	OK	 
REQUEST	28		Get Data	1687288889233	1687288889336	OK	 
REQUEST	36		Get Data	1687288889233	1687288889339	OK	 
REQUEST	25		Get Data	1687288889263	1687288889361	OK	 
REQUEST	17		Get Data	1687288889263	1687288889394	OK	 
REQUEST	31		Get Data	1687288889264	1687288889395	OK	 
REQUEST	24		Get Data	1687288889264	1687288889398	OK	 
REQUEST	53		Get Data	1687288889293	1687288889398	OK	 
REQUEST	46		Get Data	1687288889293	1687288889398	OK	 
REQUEST	34		Get Data	1687288889264	1687288889401	OK	 
REQUEST	51		Get Data	1687288889323	1687288889446	OK	 
REQUEST	56		Get Data	1687288889324	1687288889450	OK	 
REQUEST	45		Get Data	1687288889343	1687288889451	OK	 
REQUEST	5		Get Data	1687288889004	1687288889469	OK	 
REQUEST	37		Get Data	1687288889356	1687288889470	OK	 
REQUEST	41		Get Data	1687288889355	1687288889475	OK	 
REQUEST	12		Get Data	1687288889356	1687288889480	OK	 
REQUEST	38		Get Data	1687288889386	1687288889486	OK	 
REQUEST	62		Get Data	1687288889403	1687288889501	OK	 
REQUEST	43		Get Data	1687288889402	1687288889504	OK	 
REQUEST	55		Get Data	1687288889403	1687288889506	OK	 
REQUEST	63		Get Data	1687288889402	1687288889512	OK	 
REQUEST	48		Get Data	1687288889418	1687288889515	OK	 
REQUEST	52		Get Data	1687288889419	1687288889524	OK	 
REQUEST	60		Get Data	1687288889434	1687288889533	OK	 
REQUEST	65		Get Data	1687288889454	1687288889557	OK	 
REQUEST	67		Get Data	1687288889454	1687288889561	OK	 
REQUEST	58		Get Data	1687288889465	1687288889568	OK	 
REQUEST	57		Get Data	1687288889454	1687288889568	OK	 
REQUEST	71		Get Data	1687288889449	1687288889587	OK	 
REQUEST	66		Get Data	1687288889454	1687288889590	OK	 
REQUEST	61		Get Data	1687288889495	1687288889596	OK	 
REQUEST	49		Get Data	1687288889495	1687288889597	OK	 
REQUEST	54		Get Data	1687288889465	1687288889597	OK	 
REQUEST	70		Get Data	1687288889513	1687288889610	OK	 
REQUEST	72		Get Data	1687288889514	1687288889617	OK	 
REQUEST	68		Get Data	1687288889514	1687288889630	OK	 
REQUEST	69		Get Data	1687288889526	1687288889629	KO	status.find.is(200), but actually found 400
REQUEST	74		Get Data	1687288889541	1687288889669	OK	 
REQUEST	80		Get Data	1687288889573	1687288889670	OK	 
REQUEST	44		Get Data	1687288889571	1687288889681	OK	 
REQUEST	82		Get Data	1687288889574	1687288889690	OK	 
REQUEST	73		Get Data	1687288889573	1687288889698	OK	 
REQUEST	79		Get Data	1687288889602	1687288889700	OK	 
REQUEST	75		Get Data	1687288889556	1687288889731	OK	 
REQUEST	76		Get Data	1687288889633	1687288889734	OK	 
REQUEST	83		Get Data	1687288889633	1687288889748	OK	 
