RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686149718647	 	3.3.1
USER	Get Data Scenario	1	START	1686149720418	1686149720418
USER	Get Data Scenario	2	START	1686149720437	1686149720437
USER	Get Data Scenario	3	START	1686149720453	1686149720453
USER	Get Data Scenario	4	START	1686149720483	1686149720483
USER	Get Data Scenario	5	START	1686149720499	1686149720499
USER	Get Data Scenario	6	START	1686149720514	1686149720514
USER	Get Data Scenario	7	START	1686149720533	1686149720533
USER	Get Data Scenario	8	START	1686149720560	1686149720560
USER	Get Data Scenario	9	START	1686149720575	1686149720575
USER	Get Data Scenario	10	START	1686149720593	1686149720593
USER	Get Data Scenario	11	START	1686149720620	1686149720620
USER	Get Data Scenario	12	START	1686149720636	1686149720636
USER	Get Data Scenario	13	START	1686149720653	1686149720653
USER	Get Data Scenario	14	START	1686149720682	1686149720682
USER	Get Data Scenario	15	START	1686149720697	1686149720697
USER	Get Data Scenario	16	START	1686149720716	1686149720716
USER	Get Data Scenario	17	START	1686149720742	1686149720742
USER	Get Data Scenario	18	START	1686149720758	1686149720758
USER	Get Data Scenario	19	START	1686149720773	1686149720773
USER	Get Data Scenario	20	START	1686149720803	1686149720803
REQUEST	5		Get Data	1686149720500	1686149720810	OK	 
REQUEST	8		Get Data	1686149720561	1686149720806	OK	 
REQUEST	3		Get Data	1686149720468	1686149720735	OK	 
REQUEST	10		Get Data	1686149720595	1686149720811	OK	 
REQUEST	6		Get Data	1686149720515	1686149720729	OK	 
USER	Get Data Scenario	21	START	1686149720822	1686149720822
REQUEST	7		Get Data	1686149720536	1686149720765	OK	 
REQUEST	2		Get Data	1686149720466	1686149720726	OK	 
REQUEST	4		Get Data	1686149720484	1686149720726	OK	 
REQUEST	11		Get Data	1686149720624	1686149720836	OK	 
USER	Get Data Scenario	22	START	1686149720848	1686149720848
REQUEST	12		Get Data	1686149720637	1686149720849	OK	 
USER	Get Data Scenario	23	START	1686149720863	1686149720863
USER	Get Data Scenario	24	START	1686149720878	1686149720878
REQUEST	9		Get Data	1686149720577	1686149720885	OK	 
REQUEST	14		Get Data	1686149720684	1686149720892	OK	 
REQUEST	13		Get Data	1686149720654	1686149720892	OK	 
USER	Get Data Scenario	25	START	1686149720895	1686149720895
USER	Get Data Scenario	26	START	1686149720913	1686149720913
REQUEST	15		Get Data	1686149720699	1686149720926	OK	 
REQUEST	16		Get Data	1686149720718	1686149720929	OK	 
USER	Get Data Scenario	27	START	1686149720939	1686149720939
USER	Get Data Scenario	28	START	1686149720955	1686149720955
REQUEST	17		Get Data	1686149720744	1686149720968	OK	 
USER	Get Data Scenario	29	START	1686149720973	1686149720973
USER	Get Data Scenario	30	START	1686149721001	1686149721001
USER	Get Data Scenario	31	START	1686149721017	1686149721017
REQUEST	1		Get Data	1686149720464	1686149721017	OK	 
REQUEST	18		Get Data	1686149720760	1686149721029	OK	 
REQUEST	21		Get Data	1686149720830	1686149721030	OK	 
REQUEST	19		Get Data	1686149720774	1686149721033	OK	 
USER	Get Data Scenario	32	START	1686149721033	1686149721033
REQUEST	22		Get Data	1686149720850	1686149721040	OK	 
REQUEST	23		Get Data	1686149720865	1686149721061	OK	 
USER	Get Data Scenario	33	START	1686149721063	1686149721063
REQUEST	24		Get Data	1686149720880	1686149721069	OK	 
USER	Get Data Scenario	34	START	1686149721079	1686149721079
REQUEST	25		Get Data	1686149720896	1686149721091	OK	 
USER	Get Data Scenario	35	START	1686149721113	1686149721113
REQUEST	26		Get Data	1686149720914	1686149721122	OK	 
