RUN	simulations.GetTokenSimulation	gettokensimulation	1690922384749	 	3.3.1
USER	Get Token Scenario	1	START	1690922386272	1690922386272
REQUEST	1		GetToken	1690922386340	1690922386723	OK	 
USER	Get Token Scenario	2	START	1690922387272	1690922387272
REQUEST	2		GetToken	1690922387273	1690922387587	OK	 
USER	Get Token Scenario	1	END	1690922386272	1690922387757
USER	Get Token Scenario	3	START	1690922388268	1690922388268
REQUEST	3		GetToken	1690922388270	1690922388502	OK	 
USER	Get Token Scenario	2	END	1690922387272	1690922388598
USER	Get Token Scenario	4	START	1690922389258	1690922389258
USER	Get Token Scenario	3	END	1690922388268	1690922389522
REQUEST	4		GetToken	1690922389260	1690922389554	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	5	START	1690922390268	1690922390268
USER	Get Token Scenario	4	END	1690922389258	1690922390578
REQUEST	5		GetToken	1690922390269	1690922390610	OK	 
USER	Get Token Scenario	6	START	1690922391271	1690922391271
REQUEST	6		GetToken	1690922391273	1690922391591	OK	 
USER	Get Token Scenario	5	END	1690922390268	1690922391628
USER	Get Token Scenario	7	START	1690922392264	1690922392264
REQUEST	7		GetToken	1690922392265	1690922392517	OK	 
USER	Get Token Scenario	6	END	1690922391271	1690922392598
USER	Get Token Scenario	8	START	1690922393258	1690922393258
USER	Get Token Scenario	7	END	1690922392264	1690922393538
REQUEST	8		GetToken	1690922393259	1690922393560	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	9	START	1690922394268	1690922394268
REQUEST	9		GetToken	1690922394269	1690922394571	OK	 
USER	Get Token Scenario	8	END	1690922393258	1690922394575
USER	Get Token Scenario	10	START	1690922395274	1690922395274
REQUEST	10		GetToken	1690922395277	1690922395524	OK	 
USER	Get Token Scenario	9	END	1690922394268	1690922395585
USER	Get Token Scenario	10	END	1690922395274	1690922396530
