RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686673924433	 	3.3.1
USER	Get Data Scenario	1	START	1686673926033	1686673926033
USER	Get Data Scenario	2	START	1686673926191	1686673926191
USER	Get Data Scenario	3	START	1686673926341	1686673926341
USER	Get Data Scenario	4	START	1686673926479	1686673926479
REQUEST	2		Get Data	1686673926193	1686673926465	OK	 
REQUEST	3		Get Data	1686673926342	1686673926595	OK	 
USER	Get Data Scenario	5	START	1686673926619	1686673926619
REQUEST	1		Get Data	1686673926078	1686673926676	OK	 
REQUEST	4		Get Data	1686673926481	1686673926736	OK	 
USER	Get Data Scenario	6	START	1686673926761	1686673926761
REQUEST	5		Get Data	1686673926621	1686673926816	OK	 
USER	Get Data Scenario	7	START	1686673926901	1686673926901
REQUEST	6		Get Data	1686673926762	1686673926948	OK	 
USER	Get Data Scenario	8	START	1686673927041	1686673927041
REQUEST	7		Get Data	1686673926902	1686673927155	OK	 
USER	Get Data Scenario	9	START	1686673927211	1686673927211
REQUEST	8		Get Data	1686673927042	1686673927294	OK	 
USER	Get Data Scenario	10	START	1686673927381	1686673927381
REQUEST	9		Get Data	1686673927212	1686673927480	OK	 
USER	Get Data Scenario	11	START	1686673927549	1686673927549
REQUEST	2		Get Data	1686673927488	1686673927594	OK	 
REQUEST	10		Get Data	1686673927382	1686673927638	OK	 
REQUEST	3		Get Data	1686673927612	1686673927710	OK	 
USER	Get Data Scenario	12	START	1686673927720	1686673927720
REQUEST	11		Get Data	1686673927550	1686673927739	OK	 
REQUEST	1		Get Data	1686673927691	1686673927792	OK	 
REQUEST	4		Get Data	1686673927769	1686673927869	OK	 
USER	Get Data Scenario	13	START	1686673927890	1686673927890
REQUEST	12		Get Data	1686673927722	1686673927916	OK	 
REQUEST	5		Get Data	1686673927829	1686673928000	OK	 
USER	Get Data Scenario	14	START	1686673928043	1686673928043
REQUEST	6		Get Data	1686673927969	1686673928065	OK	 
REQUEST	13		Get Data	1686673927891	1686673928137	OK	 
USER	Get Data Scenario	15	START	1686673928214	1686673928214
REQUEST	14		Get Data	1686673928045	1686673928257	OK	 
USER	Get Data Scenario	16	START	1686673928385	1686673928385
REQUEST	8		Get Data	1686673928308	1686673928436	OK	 
REQUEST	15		Get Data	1686673928215	1686673928450	OK	 
REQUEST	7		Get Data	1686673928169	1686673928500	OK	 
USER	Get Data Scenario	17	START	1686673928541	1686673928541
REQUEST	16		Get Data	1686673928386	1686673928576	OK	 
REQUEST	9		Get Data	1686673928493	1686673928591	OK	 
REQUEST	2		Get Data	1686673928585	1686673928689	OK	 
USER	Get Data Scenario	18	START	1686673928711	1686673928711
REQUEST	17		Get Data	1686673928542	1686673928718	OK	 
REQUEST	10		Get Data	1686673928651	1686673928750	OK	 
REQUEST	3		Get Data	1686673928712	1686673928820	OK	 
REQUEST	11		Get Data	1686673928770	1686673928867	OK	 
USER	Get Data Scenario	19	START	1686673928881	1686673928881
REQUEST	1		Get Data	1686673928801	1686673928902	OK	 
REQUEST	18		Get Data	1686673928712	1686673928939	OK	 
REQUEST	4		Get Data	1686673928852	1686673928962	OK	 
REQUEST	12		Get Data	1686673928940	1686673929040	OK	 
USER	Get Data Scenario	20	START	1686673929045	1686673929045
REQUEST	19		Get Data	1686673928882	1686673929068	OK	 
REQUEST	5		Get Data	1686673929016	1686673929114	OK	 
REQUEST	6		Get Data	1686673929062	1686673929159	OK	 
REQUEST	20		Get Data	1686673929046	1686673929221	OK	 
USER	Get Data Scenario	21	START	1686673929230	1686673929230
REQUEST	13		Get Data	1686673929142	1686673929236	OK	 
REQUEST	14		Get Data	1686673929262	1686673929359	OK	 
USER	Get Data Scenario	22	START	1686673929383	1686673929383
REQUEST	21		Get Data	1686673929231	1686673929412	OK	 
REQUEST	8		Get Data	1686673929445	1686673929543	OK	 
USER	Get Data Scenario	23	START	1686673929553	1686673929553
REQUEST	15		Get Data	1686673929460	1686673929559	OK	 
REQUEST	22		Get Data	1686673929384	1686673929564	OK	 
REQUEST	7		Get Data	1686673929508	1686673929606	OK	 
REQUEST	16		Get Data	1686673929599	1686673929697	OK	 
REQUEST	9		Get Data	1686673929600	1686673929703	OK	 
USER	Get Data Scenario	24	START	1686673929722	1686673929722
REQUEST	23		Get Data	1686673929555	1686673929736	OK	 
REQUEST	2		Get Data	1686673929692	1686673929791	OK	 
REQUEST	17		Get Data	1686673929738	1686673929843	OK	 
REQUEST	10		Get Data	1686673929754	1686673929860	OK	 
USER	Get Data Scenario	25	START	1686673929890	1686673929890
REQUEST	3		Get Data	1686673929830	1686673929930	OK	 
REQUEST	24		Get Data	1686673929723	1686673929996	OK	 
REQUEST	1		Get Data	1686673929891	1686673929999	OK	 
REQUEST	18		Get Data	1686673929942	1686673930051	OK	 
USER	Get Data Scenario	26	START	1686673930061	1686673930061
REQUEST	25		Get Data	1686673929891	1686673930077	OK	 
REQUEST	12		Get Data	1686673930031	1686673930131	OK	 
REQUEST	19		Get Data	1686673930081	1686673930184	OK	 
USER	Get Data Scenario	27	START	1686673930199	1686673930199
REQUEST	5		Get Data	1686673930111	1686673930208	OK	 
REQUEST	11		Get Data	1686673929860	1686673930227	OK	 
REQUEST	4		Get Data	1686673929968	1686673930229	OK	 
REQUEST	26		Get Data	1686673930062	1686673930242	OK	 
REQUEST	6		Get Data	1686673930169	1686673930264	OK	 
USER	Get Data Scenario	28	START	1686673930336	1686673930336
REQUEST	20		Get Data	1686673930231	1686673930337	OK	 
REQUEST	27		Get Data	1686673930201	1686673930376	OK	 
REQUEST	13		Get Data	1686673930262	1686673930424	OK	 
REQUEST	14		Get Data	1686673930371	1686673930467	OK	 
USER	Get Data Scenario	29	START	1686673930475	1686673930475
REQUEST	28		Get Data	1686673930336	1686673930507	OK	 
REQUEST	21		Get Data	1686673930429	1686673930533	OK	 
USER	Get Data Scenario	30	START	1686673930613	1686673930613
REQUEST	8		Get Data	1686673930541	1686673930638	OK	 
REQUEST	22		Get Data	1686673930572	1686673930669	OK	 
REQUEST	15		Get Data	1686673930571	1686673930670	OK	 
REQUEST	29		Get Data	1686673930476	1686673930697	OK	 
REQUEST	7		Get Data	1686673930601	1686673930763	OK	 
USER	Get Data Scenario	31	START	1686673930765	1686673930765
REQUEST	30		Get Data	1686673930614	1686673930786	OK	 
REQUEST	9		Get Data	1686673930691	1686673930801	OK	 
REQUEST	16		Get Data	1686673930692	1686673930817	OK	 
REQUEST	2		Get Data	1686673930797	1686673930901	OK	 
USER	Get Data Scenario	32	START	1686673930903	1686673930903
REQUEST	17		Get Data	1686673930831	1686673930929	OK	 
REQUEST	31		Get Data	1686673930766	1686673930952	OK	 
