RUN	simulations.GetTokenSimulation	gettokensimulation	1679672193981	 	3.3.1
USER	Get Token Scenario	1	START	1679672195810	1679672195810
REQUEST	1		GetToken	1679672195850	1679672196325	OK	 
USER	Get Token Scenario	1	END	1679672195810	1679672197353
USER	Get Token Scenario	2	START	1679672197814	1679672197814
REQUEST	2		GetToken	1679672197816	1679672198133	OK	 
USER	Get Token Scenario	2	END	1679672197814	1679672199152
USER	Get Token Scenario	3	START	1679672199790	1679672199790
REQUEST	3		GetToken	1679672199791	1679672200089	OK	 
USER	Get Token Scenario	3	END	1679672199790	1679672201109
USER	Get Token Scenario	4	START	1679672201808	1679672201808
REQUEST	4		GetToken	1679672201810	1679672202049	OK	 
USER	Get Token Scenario	4	END	1679672201808	1679672203062
USER	Get Token Scenario	5	START	1679672203809	1679672203809
REQUEST	5		GetToken	1679672203811	1679672204116	OK	 
USER	Get Token Scenario	5	END	1679672203809	1679672205128
