RUN	simulations.GetTokenSimulation	gettokensimulation	1690984870643	 	3.3.1
USER	Get Token Scenario	5	START	1690984872054	1690984872054
USER	Get Token Scenario	3	START	1690984872053	1690984872053
USER	Get Token Scenario	2	START	1690984872053	1690984872053
USER	Get Token Scenario	1	START	1690984872053	1690984872053
USER	Get Token Scenario	4	START	1690984872053	1690984872053
REQUEST	2		GetToken	1690984872088	1690984872486	OK	 
REQUEST	3		GetToken	1690984872087	1690984872472	OK	 
REQUEST	5		GetToken	1690984872086	1690984872478	OK	 
REQUEST	1		GetToken	1690984872088	1690984872478	OK	 
REQUEST	4		GetToken	1690984872089	1690984872550	OK	 
USER	Get Token Scenario	1	END	1690984872053	1690984873505
USER	Get Token Scenario	3	END	1690984872053	1690984873505
USER	Get Token Scenario	5	END	1690984872054	1690984873505
USER	Get Token Scenario	2	END	1690984872053	1690984873518
USER	Get Token Scenario	4	END	1690984872053	1690984873564
