RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686243643002	 	3.3.1
USER	Get Data Scenario	2	START	1686243644633	1686243644633
USER	Get Data Scenario	1	START	1686243644633	1686243644633
USER	Get Data Scenario	3	START	1686243644652	1686243644652
USER	Get Data Scenario	4	START	1686243644668	1686243644668
USER	Get Data Scenario	5	START	1686243644671	1686243644671
USER	Get Data Scenario	6	START	1686243644683	1686243644683
USER	Get Data Scenario	7	START	1686243644700	1686243644700
USER	Get Data Scenario	8	START	1686243644701	1686243644701
USER	Get Data Scenario	9	START	1686243644716	1686243644716
USER	Get Data Scenario	10	START	1686243644732	1686243644732
USER	Get Data Scenario	11	START	1686243644732	1686243644732
USER	Get Data Scenario	13	START	1686243644759	1686243644759
USER	Get Data Scenario	12	START	1686243644759	1686243644759
USER	Get Data Scenario	14	START	1686243644778	1686243644778
USER	Get Data Scenario	15	START	1686243644778	1686243644778
USER	Get Data Scenario	16	START	1686243644786	1686243644786
USER	Get Data Scenario	17	START	1686243644813	1686243644813
USER	Get Data Scenario	18	START	1686243644813	1686243644813
USER	Get Data Scenario	19	START	1686243644814	1686243644814
USER	Get Data Scenario	20	START	1686243644840	1686243644840
USER	Get Data Scenario	21	START	1686243644842	1686243644842
USER	Get Data Scenario	22	START	1686243644855	1686243644855
USER	Get Data Scenario	23	START	1686243644855	1686243644855
USER	Get Data Scenario	24	START	1686243644879	1686243644879
USER	Get Data Scenario	25	START	1686243644879	1686243644879
USER	Get Data Scenario	26	START	1686243644885	1686243644885
USER	Get Data Scenario	27	START	1686243644899	1686243644899
USER	Get Data Scenario	28	START	1686243644901	1686243644901
USER	Get Data Scenario	29	START	1686243644920	1686243644920
USER	Get Data Scenario	30	START	1686243644923	1686243644923
USER	Get Data Scenario	32	START	1686243644944	1686243644944
USER	Get Data Scenario	31	START	1686243644944	1686243644944
USER	Get Data Scenario	33	START	1686243644959	1686243644959
USER	Get Data Scenario	34	START	1686243644961	1686243644961
USER	Get Data Scenario	35	START	1686243644984	1686243644984
USER	Get Data Scenario	36	START	1686243644984	1686243644984
USER	Get Data Scenario	37	START	1686243645005	1686243645005
USER	Get Data Scenario	38	START	1686243645005	1686243645005
USER	Get Data Scenario	39	START	1686243645020	1686243645020
USER	Get Data Scenario	40	START	1686243645022	1686243645022
USER	Get Data Scenario	41	START	1686243645036	1686243645036
USER	Get Data Scenario	43	START	1686243645052	1686243645052
USER	Get Data Scenario	42	START	1686243645052	1686243645052
USER	Get Data Scenario	44	START	1686243645067	1686243645067
USER	Get Data Scenario	45	START	1686243645071	1686243645071
USER	Get Data Scenario	46	START	1686243645083	1686243645083
USER	Get Data Scenario	47	START	1686243645097	1686243645097
USER	Get Data Scenario	48	START	1686243645101	1686243645101
USER	Get Data Scenario	49	START	1686243645112	1686243645112
