RUN	simulations.GetTokenSimulation	gettokensimulation	1690984051971	 	3.3.1
USER	Get Token Scenario	1	START	1690984053277	1690984053277
REQUEST	1		GetToken	1690984053312	1690984053691	OK	 
USER	Get Token Scenario	2	START	1690984054280	1690984054280
REQUEST	2		GetToken	1690984054282	1690984054511	OK	 
USER	Get Token Scenario	1	END	1690984053277	1690984054707
USER	Get Token Scenario	3	START	1690984055273	1690984055273
REQUEST	3		GetToken	1690984055274	1690984055523	OK	 
USER	Get Token Scenario	2	END	1690984054280	1690984055536
USER	Get Token Scenario	4	START	1690984056296	1690984056296
USER	Get Token Scenario	3	END	1690984055273	1690984056545
REQUEST	4		GetToken	1690984056299	1690984056602	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	5	START	1690984057293	1690984057293
REQUEST	5		GetToken	1690984057295	1690984057615	OK	 
USER	Get Token Scenario	4	END	1690984056296	1690984057634
USER	Get Token Scenario	6	START	1690984058302	1690984058302
REQUEST	6		GetToken	1690984058303	1690984058545	OK	 
USER	Get Token Scenario	5	END	1690984057293	1690984058628
USER	Get Token Scenario	7	START	1690984059279	1690984059279
REQUEST	7		GetToken	1690984059280	1690984059526	OK	 
USER	Get Token Scenario	6	END	1690984058302	1690984059557
USER	Get Token Scenario	8	START	1690984060274	1690984060274
REQUEST	8		GetToken	1690984060276	1690984060508	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	END	1690984059279	1690984060554
USER	Get Token Scenario	9	START	1690984061285	1690984061285
REQUEST	9		GetToken	1690984061286	1690984061517	OK	 
USER	Get Token Scenario	8	END	1690984060274	1690984061523
USER	Get Token Scenario	10	START	1690984062283	1690984062283
USER	Get Token Scenario	9	END	1690984061285	1690984062530
REQUEST	10		GetToken	1690984062285	1690984062534	OK	 
USER	Get Token Scenario	10	END	1690984062283	1690984063554
