RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1686773787632	 	3.3.1
USER	Get Data Scenario	1	START	1686773789322	1686773789322
USER	Get Data Scenario	2	START	1686773789479	1686773789479
USER	Get Data Scenario	3	START	1686773789618	1686773789618
USER	Get Data Scenario	4	START	1686773789757	1686773789757
USER	Get Data Scenario	5	START	1686773789899	1686773789899
USER	Get Data Scenario	6	START	1686773790040	1686773790040
USER	Get Data Scenario	7	START	1686773790179	1686773790179
USER	Get Data Scenario	8	START	1686773790350	1686773790350
USER	Get Data Scenario	9	START	1686773790518	1686773790518
USER	Get Data Scenario	10	START	1686773790690	1686773790690
USER	Get Data Scenario	11	START	1686773790859	1686773790859
USER	Get Data Scenario	12	START	1686773791016	1686773791016
USER	Get Data Scenario	13	START	1686773791187	1686773791187
USER	Get Data Scenario	14	START	1686773791357	1686773791357
USER	Get Data Scenario	15	START	1686773791499	1686773791499
USER	Get Data Scenario	16	START	1686773791669	1686773791669
USER	Get Data Scenario	17	START	1686773791839	1686773791839
USER	Get Data Scenario	18	START	1686773792007	1686773792007
USER	Get Data Scenario	19	START	1686773792178	1686773792178
USER	Get Data Scenario	20	START	1686773792349	1686773792349
USER	Get Data Scenario	21	START	1686773792503	1686773792503
REQUEST	3		Get Data	1686773789619	1686773792554	OK	 
REQUEST	14		Get Data	1686773791358	1686773792554	OK	 
REQUEST	6		Get Data	1686773790041	1686773792554	OK	 
REQUEST	15		Get Data	1686773791501	1686773792554	OK	 
REQUEST	1		Get Data	1686773789352	1686773792554	OK	 
REQUEST	5		Get Data	1686773789901	1686773792554	OK	 
REQUEST	11		Get Data	1686773790860	1686773792554	OK	 
REQUEST	13		Get Data	1686773791188	1686773792554	OK	 
REQUEST	18		Get Data	1686773792009	1686773792621	OK	 
USER	Get Data Scenario	22	START	1686773792673	1686773792673
REQUEST	21		Get Data	1686773792505	1686773792800	OK	 
USER	Get Data Scenario	23	START	1686773792830	1686773792830
REQUEST	20		Get Data	1686773792350	1686773792836	OK	 
REQUEST	9		Get Data	1686773790520	1686773792949	OK	 
REQUEST	12		Get Data	1686773791017	1686773792950	OK	 
