RUN	simulations.GetTokenSimulation	gettokensimulation	1690922153446	 	3.3.1
USER	Get Token Scenario	1	START	1690922155173	1690922155173
REQUEST	1		GetToken	1690922155216	1690922155620	OK	 
USER	Get Token Scenario	2	START	1690922156192	1690922156192
REQUEST	2		GetToken	1690922156193	1690922156577	OK	 
USER	Get Token Scenario	1	END	1690922155173	1690922156658
USER	Get Token Scenario	3	START	1690922157197	1690922157197
REQUEST	3		GetToken	1690922157198	1690922157500	OK	 
USER	Get Token Scenario	2	END	1690922156192	1690922157597
USER	Get Token Scenario	4	START	1690922158195	1690922158195
USER	Get Token Scenario	3	END	1690922157197	1690922158507
REQUEST	4		GetToken	1690922158196	1690922158517	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	5	START	1690922159167	1690922159167
REQUEST	5		GetToken	1690922159169	1690922159422	OK	 
USER	Get Token Scenario	4	END	1690922158195	1690922159537
USER	Get Token Scenario	6	START	1690922160196	1690922160196
USER	Get Token Scenario	5	END	1690922159167	1690922160427
REQUEST	6		GetToken	1690922160197	1690922160501	OK	 
USER	Get Token Scenario	7	START	1690922161168	1690922161168
REQUEST	7		GetToken	1690922161169	1690922161493	OK	 
USER	Get Token Scenario	6	END	1690922160196	1690922161509
USER	Get Token Scenario	8	START	1690922162177	1690922162177
REQUEST	8		GetToken	1690922162178	1690922162498	KO	jsonPath($.access_token).find.exists, found nothing
USER	Get Token Scenario	7	END	1690922161168	1690922162501
USER	Get Token Scenario	9	START	1690922163194	1690922163194
REQUEST	9		GetToken	1690922163195	1690922163437	OK	 
USER	Get Token Scenario	8	END	1690922162177	1690922163517
USER	Get Token Scenario	10	START	1690922164167	1690922164167
REQUEST	10		GetToken	1690922164168	1690922164413	OK	 
USER	Get Token Scenario	9	END	1690922163194	1690922164447
USER	Get Token Scenario	10	END	1690922164167	1690922165437
